Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Gøteborg Allé, 8200 Aarhus, Aarhus N  - 9. sal",9.100 kr.,450 kr.,42 m²,2,9.,Lejlighed,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Ja,N/A,"***STUDIEGARANTI TILBYDES***

VIGTIG INFO - der er studiegaranti på alle boligerne, hvilket betyder at du kan annullere kontrakten såfremt du ikke kommer ind på dit studie. 

Velkommen til denne fantastiske 2-værelses lejlighed. Denne lejlighed er beliggende i det nye smukke byggeri UNITY. 

Her får du et pænt størrelse badeværelse, et køkken alrum, hvor der er fin spises plads og et fint størrelse værelse. Derudover egen altan, så du kan nyde udsigten fra 9 sal.  

Derudover mange skønne fællesfaciliteter. 

EN NY MÅDE AT LEVE PÅ I SMILETS BY

I de kommende 1-, 2- og 3-værelses lejelejligheder nær Aarhus centrum, der varierer i størrelser 
fra 29 m2 helt op til 94 m2, er der kræset for detaljerne. Alle lejligheder har et tidløst køkken med 
opvaskemaskine og stålbordplade, stort badeværelse med gulvvarme, privat altan eller terrasse - 
og meget mere.
De elegante lejelejligheder i høj kvalitet er fuldt møblerede i samarbejde med det britiske design 
studio, Tom Dixon og klar til indflytning i august, 2023.

 Som lejer hos UNITY Aarhus har du direkte adgang til en bred vifte af attraktive faciliteter, lige 
udenfor din dør:

• Fitness med yogarum
• Udendørs træningsfaciliteter samt løbe-og multiboldbane 
• 7 store tagterrasser, hvoraf to har udendørs bruser og sauna
• Café og loungeområder
• Fælles køkkener og vaskefaciliteter
• Co-working og mini-biograf
• Smukt gårdrum med bænke og borde, udendørs grill

Kontakt os allerede nu for en fremvisning. 

OBS: Billeder er fra en anden lejlighed, men plantegningen er retvisende.

Vi afholder åbent hus hver: 
Torsdag 16:00 - 17:00

//

A NEW WAY OF LIVING IN THE CITY OF SMILES 

In the upcoming 1-, 2- and 3-bedroom rental apartments near Aarhus city center, which vary in sizes from 29 m2 all the way up to 94 m2, attention has been paid to the details. All apartments have a timeless kitchen with dishwasher and steel worktop, large bathroom with underfloor heating, private balcony or terrace - and much more.

The elegant, high-quality rental apartments are fully furnished in collaboration with British design studio, Tom Dixon and ready for occupancy in August, 2023.

As a tenant at UNITY Aarhus, you have direct access to a wide range of attractive facilities, right outside your door: 
• Fitness with yoga room 
• Outdoor training facilities as well as running and multiball court 
• 7 large roof terraces, two of which have outdoor shower and sauna 
• Café and lounge areas 
• Shared kitchens and laundry facilities 
• Co-working and mini-cinema

NB: Images are visualizations of UNITY and not of the specific residence. 

We hold an open house every: 
Thursday 16:00-17:00 pm",https://www.boligportal.dk/lejligheder/aarhus/42m2-2-vaer-id-5365971
"Sct. Mathias Gade, 8800 Viborg  - 1. sal",8.400 kr.,800 kr.,116 m²,4,1.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,N/A,"Lækker herskabslejlighed i centrum af Viborg.
Indeholder køkken, stue, spisestue, 2 værelser, gang og badeværelse.
Lejemålet har afhøvlede gulve, stuklofter og er utrolig charmerende.
Lejemålet kan deles af 2 personer.",https://www.boligportal.dk/lejligheder/viborg/116m2-4-vaer-id-5237870
"Toldbodgade, 8600 Silkeborg  - Stuen",6.000 kr.,600 kr.,58 m²,2,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Stuelejlighed udlejes i Silkeborg centrum. Tæt på tog, bus, uddannelsesinstitutioner og indkøb.
Passer bedst til par eller enlig. 
Lejligheden er hævet over gade niveau så der er ingen der kan kigge ind. Til lejligheden hører også en dejlig lille altan.",https://www.boligportal.dk/lejligheder/silkeborg/58m2-2-vaer-id-4870626
"Smedegade, 7400 Herning  - Stuen",5.800 kr.,1.000 kr.,95 m²,3,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,N/A,"Dejlig 3 værelseslejlighed beliggende i Herning centrum
Lejligheden er lys og har sjæl 
1 soveværelse samt 2 stuer",https://www.boligportal.dk/lejligheder/herning/95m2-3-vaer-id-5355686
"Marshalls alle, 9220 Aalborg, Aalborg Øst  - 1. sal",7.495 kr.,700 kr.,80 m²,3,1.,Lejlighed,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,N/A,"Velkommen
Lejligheden er dejlig lys.
Træ gulve i alle rum.
Køkken i åben forbindelse til den store stue.
Adgang til stor altan med skøn udsigt.
En af de bedst beliggende ejendomme i Aalborg Ø.
2 soveværelser med skabe.
Dejligt stort badeværelse med gulvvarme og plads til vaskemaskine og tørretumbler.

Kontakt os for fremvisning. Vi viser frem alle ugens dage.",https://www.boligportal.dk/lejligheder/aalborg/80m2-3-vaer-id-5377928
"Vestergade, 5000 Odense, Odense C  - 2. sal",8.700 kr.,1.200 kr.,125 m²,5,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Stor istandsat herskabslejlighed tæt på Odense Rådhus. Lejligheden er nyistandsat med nyt moderniseret køkken og alt i hårde hvidevarer. Lejligheden har smukke detaljer og fremstår indflytningsklar. Specialforretninger, stormagasin, teater, musikhus og restauranter ligger lige uden for døren. Brugsen og Lidl er indenfor 10 minutters gåafstand. Henvendelser om lejemålet og for fremvisning kan ske mandag-fredag kl. 15.00-18.00 til Claus på telefon",https://www.boligportal.dk/lejligheder/odense/125m2-5-vaer-id-5347505
"Engløbet, 2730 København, Herlev  - 1. sal",11.200 kr.,850 kr.,76 m²,3,1.,Lejlighed,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,N/A,"Skøn 3'er i Herlev
Velkommen til denne charmerende 3-værelses lejlighed beliggende i en rolig og attraktiv del af Herlev. Med sin fine indretning, hyggelige atmosfære og bekvemme beliggenhed er denne lejlighed perfekt for dig, der ønsker et funktionelt hjem.
Lejligheden byder velkommen med en hyggelig stue i åben forbindelse med køkkenet, hvor du kan slappe af og nyde dit daglige liv. Den åbne planløsning skaber en rummelig fornemmelse, samtidig med at den rummer områder til spisning og afslapning. De store vinduer lader lyset strømme ind, og skaber en behagelig atmosfære i rummet. Lejligheden har også to soveværelser. Begge værelser er tilstrækkeligt rummelige til at rumme en seng og opbevaringsløsninger til dine ejendele. Badeværelset er moderne og velindrettet med en bruseniche og vaskemaskine og tørretumbler.
Lejligheden ligger i et roligt kvarter i Herlev, der tilbyder en fredelig tilbagetrukkenhed. Samtidig er der let adgang til lokale butikker, restauranter, offentlig transport og cykelafstand til København. Denne 3-værelses lejlighed i Herlev er ideel til en enkelt person, et par eller en lille familie, der ønsker et praktisk og hyggeligt hjem.
Derudover:
- Elevator i bygningen
- Depotrum til alle lejligheder
- Det er muligt at leje en p-plads i kælderen eller i terræn
Det med småt:
- Det er ikke tilladt at stå i RKI
- Kæledyr skal godkendes af udlejer
- Bemærk, at billedmaterialet ikke nødvendigvis stammer fra den pågældende bolig.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/76m2-3-vaer-id-5365966
"Absalonsgade, 9000 Aalborg, Aalborg  - 3. sal",5.495 kr.,500 kr.,58 m²,2,3.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Går du og leder efter en skøn og studievenlig 2-værelses lejlighed i det centrale Aalborg? Så får du her en moderniseret 2- værelses lejlighed i det attraktive Aalborg Vestby.Lejligheden indeholder et moderniseret køkken med køle- fryseskab, opvaskemaskine og masser af bordplads til når der skal kokkeres. Lejlighedens badeværelse er ligeså moderniseret med skabsplads under vasken til alle toiletsagerne, lys i spejlet samt stor separat brusekabine. Lejlighedens soveværelse er lyst og har direkte udgang til lejlighedens altan. Stuen er stor og rummelig så du her både får plads til sofagruppen og spisebordet.",https://www.boligportal.dk/lejligheder/aalborg/58m2-2-vaer-id-5230585
"Sankt Helene Vej, 8700 Horsens  - 3. sal",4.700 kr.,700 kr.,51 m²,2,3.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,E,"Taglejlighed beliggende meget centralt i Horsens. 

Der er fint, lyst køkken og bad, afhøvlede gulve, adgang til fælles gårdhave og fælles vaskeri i kælderen. 

Ikke rygere foretrækkes. Ingen husdyr.",https://www.boligportal.dk/lejligheder/horsens/51m2-2-vaer-id-3973148
"Østerbro, 7800 Skive  - 2. sal",3.800 kr.,800 kr.,45 m²,2,2.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,C,Dejlig duplex lejlighed i Skive centrum. Den 2 værelses lejlighed er 45 m2 og har et åben køkken og stue.,https://www.boligportal.dk/lejligheder/skive/45m2-2-vaer-id-4950989
