Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Femte Juni Plads, 2000 København, Frederiksberg",København,Femte Juni Plads,2000,55.687677,12.513412,6.000 kr.,0 kr.,14 m²,1,-,Værelse,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,B,"A room of approximately 14m2in a private home. The room has been approved for occupancy. Shared part of the house  include bathroom and fully equipped kithcen. Access to wireless internet, washing machine, dishwasher etc. Centrally located in the heart of Frederiksberg next to Lindevang Gardenand close to Frederiksberg Gardens (and the Zoo), Copenhagen Business School, public transportation (bus, train and metro",https://www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/14m2-1-vaer-id-5352628
"Møllehatten, 8240 Aarhus, Risskov  - Stuen",Aarhus,Møllehatten,8240,56.186156,10.211816,8.495 kr.,600 kr.,62 m²,2,Stuen,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,A,"BILLIG INDFLYTNINGSPRIS!
Kun 2*md. leje i depositum og 0 kr. i forudbetalt leje mulighed for op til 2 måneders lejefrihed ved hurtig overtagelse.

Super 2'er på med dejlig sydvendt terrasse - perfekt til parret eller den enlige.

I Risskov, den smukkeste forstad i Aarhus kan du leje en af disse fantastisk godt beliggende lejligheder på Møllehatten.

På Møllehatten får du en super beliggenhed med alt i indkøb, spisesteder, Riisskoven og dens flotte natur, vandet og ikke mindst meget nær Aarhus C.

Velkommen indenfor i denne lejlighed;
• Flot åben køkken med masser af skabsplads
• Alt i hårde hvidevarer
• God plads til både spiseområde og sofa
• Rummeligt soveværelse
• Skøn terrasse
• Depotrum i kælderen
• Mulighed for leje af privat p-plads

Der forefindes elevator i ejendommen.

Som lejer på Møllehatten får du adgang til en masse gode fællesfaciliteter såsom; delebil, tagterrasser, grill-områder, aktivitetsområder og meget mere. Der er gode muligheder for at blive en del af et stort fællesskab med lokale aktiviteter.
Ydermere tillades ét husdyr på max 10 kg.
Internet og tv-udbyder i ejendommen er Stofa.

Der forefindes elevator i ejendommen.

Billeder er fra en anden lejlighed magen til med samme materialevalg og plantegning.

Kontakt os allerede i dag for fremvisning af denne lejlighed eller en anden lejlighed, der passer til netop dine behov.

Der udlejes ikke til personer registreret i RKI.",https://www.boligportal.dk/lejligheder/aarhus/62m2-2-vaer-id-5346286
"Garnisonen, 4100 Ringsted  - 2. sal",Ringsted,Garnisonen,4100,55.448972,11.795433,10.750 kr.,1.400 kr.,102 m²,3,2.,Lejlighed,Nej,Nej,Nej,Ja,Ja,Nej,Nej,Ja,A,"I et af Ringsteds mest eftertragtede områder finder du denne lejlighed, beliggende i den charmerende kaserneby. Her er I tæt på skoler, idrætsfaciliteter, lystanlægget, Ringsted Outlet og centrum.

Kasernebygningerne er opført i 1913 og gennemgik i 2005 opbygning til lejligheder, som er opført i respekt for stilen i den gamle bygning. Ejendommen med dens grønne områder, rolige vej samt elevator yderst venlig for ældre og børnefamilie.

Til lejligheden hører kælderrum. Bygningen indeholder fælleslokaler med plads og service til 30 personer. Der er tilhørende gæsteværelser i kælderen. 

Nuværende lejer har opsagt lejemål pr. 01-10-2023.",https://www.boligportal.dk/lejligheder/ringsted/102m2-3-vaer-id-5311408
"Boyesgade, 8800 Viborg  - Stuen",Viborg,Boyesgade,8800,56.452537,9.4029,6.000 kr.,800 kr.,78 m²,3,Stuen,Lejlighed,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Nej,N/A,"Dejlig lys og hyggelig lejlighed på Boyesgade i Viborg. 

Lejligheden fremstår flot moderniseret og rummer 78 kvm, som er fordelt på en stor entre, nyere Viva-kvik køkken med alt i hvidevarer, bl.a. opvaskemaskine, nyere badeværelse med travertin-fliser, stor lys stue samt to gode lyse værelser. 

Ydermere er der egen vaske-tørremaskine samt udgang til en hyggelig have.",https://www.boligportal.dk/lejligheder/viborg/78m2-3-vaer-id-2214649
"Glarbjergvej, 8930 Randers, Randers NØ  - 1. sal",Randers,Glarbjergvej,8930,56.480426,10.037366,5.650 kr.,800 kr.,73 m²,3,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,E,"Super flot istandsat med nyt køkken og badeværelse. Alt i hårde hvidevarer incl. vaskemaskine. Harmonisk indrettet med 3 gode rum. Der er nye vinduer og tag hvorfor der er billig varmeudgift. P-plads ved ejendommen. Lejligheden udlejes til rolig lejer, som sætter pris på en flot lejlighed. Gode indkøbsmuligheder i området",https://www.boligportal.dk/lejligheder/randers/73m2-3-vaer-id-5355591
"Amager Strandvej, 2300 København, København S  - Stuen",København,Amager Strandvej,2300,55.667455,12.62678,13.500 kr.,700 kr.,70 m²,2,Stuen,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,A,"Velkommen til boligen!
Nu har du mulighed for at komme med ud og se denne skønne 2-værelses lejlighed stuelejlighed. Her træder du ind i entréen, hvor der er god plads til både sko og overtøj og adgang til lejlighedens badeværelse, med gulvvarme, separat bruseniche og komi maskine. Herfra åbenbares lejlighedens gode store opholdsrum med køkkenalrum med spiseplads og stue med udgang til terrasse. Lejlighedens værelse har depotrum som med fordel kan bruges til walk-in closet. Derudover er der også et tilhørende kælderrum.
boligen er præ-certificeret til DGNB Guld, og den grønne tankegang er tænkt ind gennem hele byggeriet; fra energiforbrug til materialevalg. Dermed får du en bolig, som er skabt med respekt for både nærmiljøet, klimaet og de mennesker, som skal bo her – uden at gå på kompromis med det æstetiske udtryk.
Der er mulighed for at leje en parkeringsplads i ejendommens parkeringskælder.
*Husdyr med ansøgning
*Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende bolig, og at udsigt m.v. derfor kan variere.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/70m2-2-vaer-id-5080144
"Gaias Allé, 9210 Aalborg, Aalborg SØ",Aalborg,Gaias Allé,9210,57.006451,9.951872,15.200 kr.,N/A,166 m²,4,-,Hus,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,N/A,"Villaen ligger i området ""Gug Alper"" og har en skøn udsigt over Gistrup golfbane og indkilde-å-dalen.

Boligen er bestående af en entré, to værelser med indbyggede skabe, et master bedroom med indgang til et lækkert walk-in closet, hvor man også kan gå ud til det store badeværelse. Der er også adgang til badeværelset fra gangen. I denne etage af boligen er der også adgang til bryggers, hvor der er vaskemaskine og tørretumbler samt godt med bordplads.

I gangen har vi trappen op til førstesalen. Under trappen er der en hyggelig detalje med et lille rum under, som kan bruges til enten lidt opbevaring eller en hule til børnene.
På førstesalen har vi det store lyse og flotte køkkenalrum. Køkken-øen er vendt sådan, at man kan stå og nyde udsigten imens der laves mad. Køkkenalrummet er delt op sådan, at der er et stueområde i den ene side og plads til spiseområde midt i rummet. Det hele kommer derfor ikke til at være for tæt. Der er flotte store vinduespartier, som giver en panoramaudsigt.

Der er udgang til en stor terrasse, hvor man både kan have lidt spiseplads eller et lækkert loungesæt.

Til slut har vi det sidste badeværelse. Det er altid dejligt med to badeværelser og især et på hver etage. Så skal gæster heller ikke nedenunder, for at benytte et toilet.
Lejer skal selv tilmelde og afregne direkte til fjernvarme, El-selskab, antenneforening mv.
Villaen er placeret på sokkel grund så det er intet havearbejde, alle arealer varetages at grundejerforeningen.
Husdyr er efter aftale.
Leje nr : 1214OMV",https://www.boligportal.dk/huse/aalborg/166m2-4-vaer-id-5361706
"Roesskovsvej, 5200 Odense, Odense V  - 2. sal",Odense,Roesskovsvej,5200,55.392615,10.354229,5.385 kr.,500 kr.,54 m²,3,2.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,C,"Denne 3-værelses lejlighed er beliggende i udkanten af Odense C. Der er gode muligheder for, at komme ind til det centrale Odense, da letbanen kører få minutter fra ejendommen. Det tager 10 min. på cykel
Lejligheden er på 2. sal og beliggende ud til grønne arealer.
I lejligheden er der kogeplade, ovn, opvaskemaskine og køle/fryseskab. 
Der er adgang til vaskekælder, som kan benyttes mod betaling
Derudover er der tilhørende kælderrum.
Haven bagved ejendommen er til fri afbenyttelse
Bemærk ingen husdyr.
Parkering uden for ejendommen",https://www.boligportal.dk/lejligheder/odense/54m2-3-vaer-id-4864794
"Odinsvej, 6100 Haderslev  - 1. sal",Haderslev,Odinsvej,6100,55.244608,9.482949,7.850 kr.,200 kr.,103 m²,3,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,D,"Lækker 3 værelses lejlighed på 103m2   i 2 plan. Her er køkkenalrum, 2 værelser, stue og badeværelse med plads til vaskemaskine og tørretumbler. Lejligheden er lys og lækker indrettet. Der er 2 altaner med udsigt over Haderslev by og Haderslev Dam. Meget billig i varme.
10 minutters gang til centrum.
Desuden carport og depotrum.
ÅKlar til indflytning 1/9-2023
Kontakt udlejer på tlf",https://www.boligportal.dk/lejligheder/haderslev/103m2-3-vaer-id-5377129
"Tøndervej, 6000 Kolding",Kolding,Tøndervej,6000,55.486538,9.465256,7.480 kr.,900 kr.,97 m²,3,-,Lejlighed,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,N/A,"Lejligheden er beliggende i stueplan med godt lysindfald, nyt køkken-alrum og nyt bad samt stort soveværelse med walk in (kan også bruges til kontor) og et børneværelse/kontor. Endvidere er der glasfacade med meget store ovenlysvinduer, så man kan spise aftensmad under ”åben himmel”. I køkken alrum og stue er der en stor New Yorker væg. Lejligheden har direkte adgang til gårdhaven. Mulighed for at installere egen vaske/tørremaskine.

LEJLIGHEDEN KAN KUN OVERTAGES 1. OKTOBER 2023

ANG HUSDYR - SPØRG UDLEJER

• Lejligheden er ideel til en single, et par eller en familie med 1 barn, eller til hjemmearbejdsplads

• Der er nye gulve i hele lejligheden

• Parkering på offentlig vej lige foran lejlighed

• Opvaskemaskine, keramiske kogeplader og stort køle/fryseskab + varmluftsovn samt mulighed for vask/tørretumbler i egen lejlighed

• Adgang til fælles lukket gårdhave (som kun deles med 1 lejer mere)

• Beliggende centralt med 400 meter til gågaden med cafeér og butikker, 200 meter til Fitness, Fakta og Superbrugsen og 10 meter til busstoppested",https://www.boligportal.dk/lejligheder/kolding/97m2-3-vaer-id-3888391
