Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Søren Møllers Gade, 8900 Randers, Randers C",Randers,Søren Møllers Gade,8900,56.462116,10.029787,5.750 kr.,800 kr.,83 m²,3,-,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,D,"Super pæn lejlighed i stuen i Søren Møllers Gade tæt på Centrum i Randers,
lejligheden er total renoveret nyt køkken og toilet/bad , stor soveværelse med stuklofter og 2 pæne lyse stuer samt flotte trægulve. 
der er vaskekælder i ejendommen og en lille fælles have/gård.
der er depotrum på 10 m2 i kld. 
der kan tilsluttes vaskemaskine på badeværelset.
mulighed for en bord opvasker, hvis det ønskes.",https://www.boligportal.dk/lejligheder/randers/83m2-3-vaer-id-2397300
"Jens Baggesens Vej, 8200 Aarhus, Aarhus N  - 3. sal",Aarhus,Jens Baggesens Vej,8200,56.169326,10.192178,13.400 kr.,300 kr.,91 m²,4,3.,Lejlighed,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Ja,A,"Teglsten, terrazzo og ege-træ er nogle af de kvalitetsbevidste materialervalg, som er med til at skabe en stemningsfuld ramme om bylivet på Mejerihøjen. Niveauet er sat tårnhøjt med et ønske om at skabe moderne og holdbare hjem. Der er især kræset med gulvvarme i hele lejligheden, INVITA køkken med hårde hvidevarer fra Blomberg, armaturer fra Grohe, massive egestræsgulve, naturstens fliser og meget mere. Altaner opføres i stål med glasværn for forbedret lysindfald og udsigtsforhold. De private terrasser mod gårdhaverne etableres i hårdt træ, mens de fælles stisystemer i gårdhaverne etableres med brosten. Alt i alt et charmerende hjem til den kvalitetsbevidste lejer.

Lejligheden er en 4-værelses bolig, som indeholder entré, badeværelse, stue i åben forbindelse til køkken, to altaner og tre rummelige værelser med god plads til opbevaringsskabe og/eller en lille kontorplads. En bolig med massere af udeareal, hvor man kan finde ro fra det pulserende byliv.

Til lejligheden medfølger et depotrum. Der er mulighed for at leje p-plads i p-kælderen for 1.000 kr./md. per plads. Cykelparkering kan foregå i stort cykelrum i p-kælderen. Garderobeskab medfølger ikke.",https://www.boligportal.dk/lejligheder/aarhus/91m2-4-vaer-id-5299494
"Duftrankevej, 5200 Odense, Odense V  - 4. sal",Odense,Duftrankevej,5200,55.396532,10.359256,8.550 kr.,800 kr.,74 m²,3,4.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Nej,N/A,"Du kommer til at have ekstremt kort til indkøb, da der ligger en Coop365 lige overfor!
Derudover kommer der til at være et letbanestop lige i nærheden, så du hurtigt kan komme til SDU, banegården m.m.

🐶 Mht. husdyr: op til 10kg. og altid på baggrund af en individuel vurdering, så skriv til os, hvis du gerne vil have en vurdering. Du kan sende et billede og en kort beskrivelse af din hund. 
Har du et husdyr skal du betale en måneds forudbetalt leje.

🚗 Mulighed for tilkøb af eksklusiv parkeringsret",https://www.boligportal.dk/lejligheder/odense/74m2-3-vaer-id-5316417
"Søndergade, 8700 Horsens  - 2. sal",Horsens,Søndergade,8700,55.861919,9.8505,7.100 kr.,900 kr.,95 m²,3,2.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ja,N/A,"Dejlig 3 værelses lejlighed i midtbyen, tæt på både gågaden, cafeer, indkøb og offentlig transport.

Lejligheden rummer stor åben stue/køkken med charmerende synlige bjælker og masser at ovenlysvinduer. Køkkenet har opvaskemaskine.

Fra stuen er der udgang til vestvendt altan der vender ud mod den nyrenoverede gård hvor der også er mulighed for at leje en p-plads.
Lejligheden har 2 gode og lyse værelser, samt et fint badeværelse med plads til at lejer selv kan installere vaskemaskine og tørretumbler.",https://www.boligportal.dk/lejligheder/horsens/95m2-3-vaer-id-2088853
"Brøndby Strand Centrum, 2660 København, Brøndby Strand  - 1. sal",København,Brøndby Strand Centrum,2660,55.621373,12.421978,"8.290,62 kr.",800 kr.,60 m²,2,1.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,N/A,"Flot lys 2 værelses lejlighed beliggende centralt i Brøndby Strand. 
Lejligheden består af stort køkken-stue-alrum samt soveværelse og badeværelse med bruseniche. 

Adgang til fælles vaskeri samt kælderrum.

Lejligheden er beliggende tæt på alle hverdagens fornødenheder. Busforbindelser, indkøbsmuligheder og S-togsstationen er alle i gåafstand, og kysten er kun to kilometer væk.

Husdyr ikke tilladt.

Oplys venligst telefon nr. samt mail ved henvendelse.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/60m2-2-vaer-id-5379013
"Blichersvej, 8500 Grenaa",Grenaa,Blichersvej,8500,56.407321,10.913397,3.750 kr.,600 kr.,71 m²,2,-,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,D,"Lejligheden er lys og har udgang til egen altan. 

Den er beliggende i et roligt kvarter, tæt på indkøbsmuligheder og grønne områder.

Beboerne har adgang til stort fællesvaskeri, depotrum, aflåst cykelparkering og stor parkeringsplads. Derudover er der tilknyttet faste dygtige servicemedarbejdere til bebyggelsen. 

Der er mulighed for at holde husdyr.",https://www.boligportal.dk/lejligheder/grenaa/71m2-2-vaer-id-1604987
"Degnejorden, 4320 Lejre, Højby",Lejre,Degnejorden,4320,55.598318,11.974741,15.885 kr.,0 kr.,125 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,N/A,"Degnejorden – en moderne landsby med fællesskaber som omdrejningspunkt. Nyt byggeri skyder op af jorden i Lejre.

Landskabet imellem boligklyngerne på Degnejorden, er tænkt som et naturområde med varieret beplantning i form af forskellige træer og buske på en bund af enggræsser og urter. Igennem naturområdet etableres der trampestier og mindre opholds- og aktivitetsområder.

82 lejeboliger fordelt på 3 forskellige boligtyper i ét eller 2 plan. Udover lejeboligerne bliver der frasolgt 13 huse. 

I området bliver der bygget 1 forsamlingshus og 5 fælleshuse. Der etableres der 143 parkeringspladser til fri afbenyttelse inkl. handicappladser. Der opsættes tilmed 2 el-lade standere, således at der kan oplades 4 elbiler ad gangen.

Der er indflytning i 3 etaper og indflytningen for den enkelte bolig vil fremgå af den pågældende annonce. 

Der er ikke noget a conto beløb der skal betales via udlejer, da vand leveres af FORS og husene opvarmes med varmepumpe, hvor lejer selv skal tilmelde sig en el leverandør. 

Alle hårde hvidevarer medfølger. 

Boligerne kan reserveres ved at deltage på åbent hus. Vi holder åbent hus ca. én gang om ugen indtil alt er udlejet. Ønsker du at deltage i det åbne hus, så kan du sende en besked via annoncen og vil modtage en invitation til det næstkommende åbne hus.
Indflytningsprisen skal betales umiddelbart efter modtagelsen af lejekontrakten.

Det vil ikke være muligt at besigtige andre boliger end prøveboligen inden indflytning og det er under ingen omstændigheder tilladt at opholde sig på byggepladsen uden en invitation til åbent hus.

Billeder, plantegning og tekst er vejledende.

Hvis du er registreret i RKI kan vi desværre ikke tilbyde dig lejligheden. Dette kontrolleres ved udarbejdelse af lejekontrakt.",https://www.boligportal.dk/r%C3%A6kkehuse/lejre/125m2-4-vaer-id-5347145
"Søgården, 4340 Tølløse",Tølløse,Søgården,4340,55.601305,11.589803,3.500 kr.,700 kr.,53 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,D,"Hyggelig 2.værelset lejlighed på 1.sal
i mindre by med skole og indkøbsmulighed.
Mulighed for vaskemaskine på badeværelset.
Vand er med i huslejen
Aconto varme 700",https://www.boligportal.dk/lejligheder/t%C3%B8ll%C3%B8se/53m2-2-vaer-id-4899911
"Nyvej, 9500 Hobro  - 1. sal",Hobro,Nyvej,9500,56.643152,9.789306,3.800 kr.,600 kr.,41 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,E,"Rigtig pæn lejlighed beliggende midt i Hobro by og tæt på banegården. 
Lejligheden indeholder lille entre, badeværelse med brus, hyggelig stue, værelse og nyt køkken.
Lejligheden har ligeledes fået nye gulve overalt.
Lejer opkræves a'conto varme sammen med huslejen, vand er indeholdt i lejen.
Lejer tilmeldes selvstændig til el.
Ejendommen opvarmes med fjernvarme.
Lejer har brugsret til ejendommens fælles have og parkeringsfaciliteter og der er fælles vaskerum i ejendommens kælder.",https://www.boligportal.dk/lejligheder/hobro/41m2-2-vaer-id-5374624
"Bredgade, 5560 Aarup",Aarup,Bredgade,5560,55.378226,10.047321,5.800 kr.,1.000 kr.,114 m²,5,-,Hus,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,G,"Lækkert hus med plads, centralt i Aarup hovedgade med under 150m til 4 indkøbsmuligheder, børnehave, skole, togstation, specialbutikker og 2 sportshaller.

Note - der er en viseværtpligt med til huset, som vedrører mindre havehold, samt saltning og sne håndtering om vinteren. 
Viseværthåndteringen honoreres med 300 dkk / måned, som således bliver fratrukket i den viste husleje.",https://www.boligportal.dk/huse/aarup/114m2-5-vaer-id-5302751
