Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Vestergade, 7080 Børkop  - 1. sal",Børkop,Vestergade,7080,55.641932,9.649095,9.300 kr.,750 kr.,114 m²,4,1.,Lejlighed,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,N/A,"Lys og lækker lejlighed med elevator.

Lejligheden byder på et dejligt køkkenalrum med et moderne køkken, hvor der er opvaskemaskine.

Der er også vaskemaskine/tørretumbler i lejligheden - installeret i et flot badeværelse.",https://www.boligportal.dk/lejligheder/b%C3%B8rkop/114m2-4-vaer-id-5379116
"Danmarksgade, 9900 Frederikshavn  - 3. sal",Frederikshavn,Danmarksgade,9900,57.443345,10.538189,3.300 kr.,750 kr.,55 m²,1,3.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Nydelig lejlighed i danmarksgade udlejes. Lejligheden er med nyere køkken og bad, lyse vægge og trægulve. 3 måneders dep. ingen husdyr.",https://www.boligportal.dk/lejligheder/frederikshavn/55m2-1-vaer-id-1792759
"Olof Palmes Allé, 8200 Aarhus, Aarhus N  - 1. sal",Aarhus,Olof Palmes Allé,8200,56.185543,10.18822,4.995 kr.,350 kr.,29 m²,1,1.,Lejlighed,Nej,Nej,Nej,Ja,Ja,Nej,Nej,Nej,A,"2 MÅNEDERS HUSLEJEFRI!

Som kommende beboer i Blækhus Aarhus, tilbydes du lige nu de 2 første måneder huslejefrit. Altså - INGEN husleje de første 2 måneder af din lejeperiode! 

Vi afholder åbent hus med tilmelding hver søndag i ulige uger fra kl. 12:00 - 13:00. 

I Blækhus Aarhus tilbydes du følgende: 
- Entré med skabsarrangement
- Køkken m. kogeplade, emhætte, køleskab, mikroovn med grill samt skabsplads
- Stue med plads til spisebord og sovesofa el. seng
- Garderobe til tøj & sko
- Fransk altan
- Badeværelse med gulvvarme og skabsplads
- Lejligheden leveres med gardiner 
- Eget depotrum i kælderen
- Vaske- og tørrerum samt indendørs cykelparkering
- Mulighed for leje af p-plads

Områdets værdier:
Blækhus Aarhus ligger tæt på offentlig transport, uddannelsesinstitutioner, indkøb, fitness og meget mere. Det gør det let for studerende at bosætte sig i området. Både busser og Letbanen kører lige ude foran hoveddøren. supercykelstien lige rundt om hjørnet, og etableret direkte ind til Aarhus C. 

Fællesskabet bliver vægtet højt i Blækhus – derfor har man etableret 10 fælleslokaler hvor man kan mødes til spisning, der er tagterrasser hvor solen kan nydes, og så er der adgang til “Kulturbunkeren” ved siden af ejendommen. Der er skønt fællesskab, mulighed for deltagelse i foredrag, fællesaktiviteter samt leje af større lokaler. 

Lejerabat:
Lige nu kan du leje en lejlighed i Blækhus Aarhus, og samtidig få de første 2 måneders husleje gratis. Lejer betaler selv for forbrug i den huslejefriperiode.

Har du behov for et lån til indskud? Så kan vi også hjælpe med det. Betal indskuddet med hjælp fra vores samarbejdspartner, og afdrag i stedet løbende.

Vi afholder åbent hus med tilmelding hver søndag i ulige uger fra kl. 12:00 - 13:00. 

Kontakt os allerede i dag, for aftale om fremvisning :-)",https://www.boligportal.dk/lejligheder/aarhus/29m2-1-vaer-id-5378563
"Slangerupgade, 3400 Hillerød",Hillerød,Slangerupgade,3400,55.929768,12.294791,10.195 kr.,900 kr.,67 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Kom indenfor i denne topmoderne bolig, der er opført i lækre lyse materialer. Boligen rummer en stor entre med klinker, et rummeligt køkkenalrum, stort soveværelse samt et lyst og pænt badeværelse. Fra boligens køkkenalrum har du adgang til en bred altan, hvorfra du kan nyde solen hele dagen. 

Ejendommen er placeret i hjertet af Hillerød. Her har du Føtex som nabo og Slotsarkaderne samt Hillerød gågade i baghaven. Blot en kilometer fra ejendommen ligger Hillerød Station, hvorfra der er direkte S-togsforbindelse til København. Indenfor 10 minutter er du ved det smukke Frederiksborg Slot og Frederiksborg Slotshave, hvor du kan nyde en dejlig gå- eller løbetur. 

Ejendommen er opført i 2015 og indeholder 14 moderne lejligheder, der alle er 2 eller 3 værelser. Det er muligt at leje en privat p-plads foran ejendommen.",https://www.boligportal.dk/lejligheder/hiller%C3%B8d/67m2-2-vaer-id-5372778
"Rødegårdsvej, 5000 Odense, Odense C  - Stuen",Odense,Rødegårdsvej,5000,55.394015,10.402189,8.800 kr.,600 kr.,85 m²,3,Stuen,Lejlighed,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,A,"Moderne 3 værelses lejlighed med en skøn terrasse og godt lysindfald. 

Lejlighederne er indrettet med Svane-køkken, lækre hvidevarer, badeværelse med gulvvarme og vaskesøjle, to gode værelser med indbyggede skabe, stor lys stue med udgang til en lækker altan.
Ejendommen er opført med elevator, depotrum i alle lejligheder og mulighed for parkering.

Lejligheden ligger midt i den rivende byudvikling og får bla. nem adgang til letbane, cykelsti mod universitetet og centrum. Lige om hjørnet er flere dagligvarebutikker, caféer og grønne områder som Eventyr haven og Skt. Jørgens Parken.

Billederne er vejledende og kan stamme fra en anden, men lignende lejlighed.",https://www.boligportal.dk/lejligheder/odense/85m2-3-vaer-id-5336621
"Merkurvej, 8800 Viborg  - 1. sal",Viborg,Merkurvej,8800,56.4505,9.448641,1.830 kr.,407 kr.,21 m²,1,1.,Værelse,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,N/A,"Lejemålet er beliggende på Merkurvej, er 21 m2 og er klar til overtagelse 15-07-2022. Månedlig husleje er 1830 kr. og forudbetalt husleje og indskud beløber sig til i alt 2240 kr. 

Send en besked, hvis lejemålet har fanget din interesse.

Da dette er en almen bolig, skal der betales et ventelistegebyr på 150 kr.",https://www.boligportal.dk/v%C3%A6relser/viborg/21m2-1-vaer-id-4784008
"Hasserisgade, 9000 Aalborg, Aalborg  - 3. sal",Aalborg,Hasserisgade,9000,57.046402,9.912487,5.795 kr.,900 kr.,64 m²,2,3.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Boligen er rummelig og har en fin plantegning, hvor der også er plads til en masse opbevaring.  Kommer man ind fra entreen har man at stort og velholdt køkken på højre hånd. Herinde finder du blandt andet opvaskemaskine og vaskesøjle. Videre ned af fordelingsgangen har vi til venstre en stor stue med god plads til både sofaarrengement og spiseplads. Her overfor findes der et mindre toilet, der har det nødvendige. I bunden af fordelingsgangen finder man det store soveværelse. Her er der ligeledes rig mulighed for at have en stor seng og der er god plads til opbevaring. Fra soveværelset er der indgang til lejlighedens badeværelse.",https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-5378510
"Suensonsgade, 9000 Aalborg, Aalborg  - 3. sal",Aalborg,Suensonsgade,9000,57.05576,9.898103,5.249 kr.,500 kr.,62 m²,2,3.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,D,"2-værelses lejlighed, i Aalborg Vestby, udlejes:

- 2-værelses lejlighed: 62 m²
- Suensonsgade, tredje sal
- Velholdt køkken & bad
- Vaskemaskine og tørretumbler i ejendommens kælder
- Tilladt at holde kat (men ikke hund)
- Gå-afstand til cafeer, park og fjorden
- Kr. 5.249,- i månedlig husleje
- Kr. 500,- i aconto varme & vand (el afregnes direkte)
- Overtagelse fra 01.09.2023

Bemærk: Billerne er fra forrige lejers indretning, men fra den faktiske lejlighed.

Boligen udlejes af en lokal, privat udlejer i Aalborg, hvor man kan forvente en god behandling og professionel administration af lejemålet. Fremvisning sker igennem nuværende lejer.

I forbindelse med underskrift af lejeaftalen opkræves 5x husleje i samlet indflytningspris fordelt på 3x leje i depositum + 1x leje i forudbetalt husleje + første måneds husleje.",https://www.boligportal.dk/lejligheder/aalborg/62m2-2-vaer-id-5363380
"Skanderborgvej, 8000 Aarhus, Aarhus C  - 1. sal",Aarhus,Skanderborgvej,8000,56.142727,10.187584,9.950 kr.,760 kr.,108 m²,3,1.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,N/A,"Denne pæne lejlighed består af entré, to store stuer, som kan deles, soveværelse, lækkert køkken og rummeligt badeværelse. Desuden har lejligheden to store altaner. Særdeles velegnet som delebolig, men også til par eller lille familie. Beliggende tæt ved dagligvareforretninger, busforbindelser, gode parkeringsmuligheder og grønne områder. I ejendommen er der adgang til fælles vaskeri, eget depotrum, cykelparkering og hyggelig gårdhave. Ejendommen har fået helt nye vinduer. OBS! Billederne er fra et sammenligneligt lejemål i ejendommen, med samme rumfordeling. Dog kan forskelle forekomme. Billederne af køkkenet er fra en faktiske lejlighed.",https://www.boligportal.dk/lejligheder/aarhus/108m2-3-vaer-id-5377684
"Ringen, 8200 Aarhus, Aarhus N  - 3. sal",Aarhus,Ringen,8200,56.233432,10.203562,19.800 kr.,750 kr.,197 m²,4,3.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,A,"SVINGET

Svinget er tegnet af C.F Møller Architects, der har været involveret i design af boligerne siden etapens spæde start. Byggeriet består af 62 boliger, et nyt fælleshus til Nyes beboere og den lokale købmand NYMA.
 
Sammen med nabobebyggelsen Sneglehusene, udformet af arkitekt firmaet BIG, danner planen en spiralformet bevægelse ind mod det fælles gårdrum og det store regnvandsbassin Sneglehussøen.
 
NYE
Svinget ligger i Nye, smukt placeret med udsigt over Aarhus, Aarhus Bugt og Egå Engsø. Terrænet er bakket og skrånende mod syd, omkranset af mark og skov.
 
Boligerne kombinerer det bedste fra den tætte midtby med det bedste fra forstaden i et grønt og aktivt byliv. Nye udspringer fra et ønske om at tænke og leve anderledes, bevidst og bæredygtigt. Kerneværdier som liv, variation og balance er en bærende del af byens identitet.
 
BOLIGEN
Boligen er indrettet i ét plan og indeholder entré med adgang til stort og åbent køkken-alrum samt stue, som adskilles af en atriumgård i midten. Herudover er der 3 værelser, to badeværelser, hvoraf det ene er udstyret med vaskefaciliteter, et depotrum og hele tre altaner så solen kan fanges hele dagen. 

Lejer betaler a´conto vand, mens forbrug af el og varme afregnes af lejer direkte med forsyningsselskaberne.",https://www.boligportal.dk/lejligheder/aarhus/197m2-4-vaer-id-5342964
