City,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,PostalCode_1000-1999,PostalCode_2000-2999,PostalCode_3000-3999,PostalCode_4000-4999,PostalCode_5000-5999,PostalCode_6000-6999,PostalCode_7000-7999,PostalCode_8000-8999,PostalCode_9000-9999
Odense,5000,55.393856,10.394185,5400.0,800.0,62.0,2.0,2.0,Lejlighed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
Rønde,8410,56.300211,10.477949,7100.0,700.0,100.0,4.0,1.0,Lejlighed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
Aalborg,9400,57.05739,9.936155,5800.0,300.0,64.0,2.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1
København,2100,55.721333,12.556324,8200.0,500.0,43.0,1.0,2.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0
Aarhus,8240,56.199538,10.198303,8195.0,600.0,60.0,3.0,2.0,Lejlighed,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Randers,8900,56.46599,10.034878,6300.0,650.0,109.0,3.0,2.0,Lejlighed,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Odder,8300,55.973541,10.145876,7600.0,500.0,82.0,3.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Esbjerg,6700,55.465056,8.456541,8500.0,700.0,72.0,2.0,1.0,Lejlighed,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0
Sunds,7451,56.204861,9.015997,5995.0,0.0,94.0,3.0,1.0,Lejlighed,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0
Vojens,6500,55.24391,9.299112,5250.0,1250.0,85.0,3.0,0.0,Lejlighed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0
Horsens,8700,55.871169,9.839791,8458.0,375.0,114.0,3.0,2.0,Lejlighed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
Odense,5000,55.399701,10.389513,9900.0,1000.0,105.0,3.0,3.0,Lejlighed,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0
Agerskov,6534,55.130128,9.131757,4863.0,1251.0,68.0,2.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
Vamdrup,6580,55.425215,9.285583,5220.0,650.0,73.0,2.0,0.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0
Haderslev,6100,55.253774,9.501007,5650.0,849.0,66.0,2.0,1.0,Lejlighed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0
Sønderborg,6400,54.911939,9.794497,5500.0,550.0,81.0,3.0,0.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
