Type,Name,Longitude,Latitude
Malls,n/a,12.5310490,55.6818036
Malls,Frederiksberg centeret,12.5333550,55.6822430
Malls,Q-Park Illum,12.5795608,55.6797769
Malls,K,12.4571370,55.6789057
Malls,P,12.4579915,55.6799249
Malls,Frihedens Butikscenter,12.48406003333333333333333333,55.626984875
Malls,Frederiksberg Centret,12.53223812962962962962962963,55.68172073703703703703703704
Malls,Rødovre Centrum,12.457133042,55.679388752
Malls,Fisketorvet,12.56121518604651162790697674,55.66183853720930232558139535
Malls,Field's,12.57764880588235294117647059,55.63046102352941176470588235
Malls,Nørrebro Bycenter,12.53812059622641509433962264,55.70324353207547169811320755
Malls,Hvidovrevejs Butikstorv,12.4740983,55.65329371
Malls,Hvidovre C,12.47597121071428571428571429,55.66354322142857142857142857
Malls,Rebæk Søpark Butikscenter,12.45805314,55.6635152
Malls,Waterfront Shopping,12.57936284,55.7258382
Malls,Høje Gladsaxe Center,12.4973360,55.72994414
Malls,Bangs Torv,12.43898987826086956521739130,55.7226910
Malls,Spinderiet,12.51136917674418604651162791,55.66478501162790697674418605
Malls,Amager Centret,12.604195236,55.663206452
Malls,BIG Shopping,12.44850770625,55.71844340625
Malls,Kronen Vanløse,12.49240612448979591836734694,55.68769317755102040816326531
Malls,Illum,12.58036978181818181818181818,55.67946005454545454545454545
Malls,Tårnby Torv,12.60082524,55.63061632
Malls,Herlev Bymidte,12.43945772478260869565217392,55.7236510347826086956521739
Schools,n/a,12.6255513,55.6337732
Schools,Instituttet for Blinde og Svagsynede - IBOS,12.5634854,55.7267963
Schools,Fritidshjemmet Ærtebjerg,12.4628603,55.6350689
Schools,Skolen på Nyelandsvej,12.5303254,55.6828139
Schools,Trekronergade Freinetskole,12.5197857,55.6572129
Schools,Skolen ved Milestedet,12.4506967,55.6700978
Schools,Niels Brock,12.5745879,55.6825046
Schools,Flyvevåbnets Officersskole,12.5730322,55.7174668
Schools,Krebs' Skole,12.5757128,55.6898694
Schools,Christianshavn Døttreskole,12.5939114,55.6733005
Schools,Frederiksberg HF-kursus,12.4985739,55.6799579
Schools,Gefion Gymnasium,12.5813831,55.6882961
Schools,Prins Henriks Skole,12.5496938,55.6739171
Schools,Fabrikken,12.6141227,55.6227549
Schools,Københavns Idrætsefterskole,12.5112820,55.6479492
Schools,Professionsskolen UCC,12.5533850,55.7043636
Schools,Sprogcenter Hellerup,12.5566685,55.7274179
Schools,Sprogcenter Hellerup - Tuborg campus,12.5788001,55.7267087
Schools,Frederiksberg Slot - Hærens Officersskole,12.5251621,55.6718932
Schools,High school,12.5735394,55.6752860
Schools,Sosu C,12.4188799,55.6509471
Schools,Engskolen,12.5455600,55.6683000
Schools,Filipskolen,12.6334808,55.6595148
Schools,Skandinavisk Yoga og Meditationsskole,12.5744800,55.6818700
Schools,Amager International School,12.6349351,55.6481094
Schools,Atheneskolen,12.4833149,55.7378603
Schools,Borgens Køreskole,12.5206198,55.7306777
Schools,Studieskolen,12.5845717,55.6826836
Schools,Johan Borups Højskole,12.5774340,55.6738033
Schools,Improv Comedy Copenhagen,12.5747590,55.6759970
Schools,Københavns Madhus,12.5632535,55.6675422
Schools,Frederiksberg Seminarium,12.5293170,55.6830990
Schools,Søværnets Officersskole,12.5715928,55.7173559
Schools,Forsvarsakademiet,12.5731891,55.7176443
Schools,Goethe Institut,12.5731850,55.6827557
Schools,Institut Sankt Joseph,12.5822440,55.6941452
Schools,Teater butikken,12.5628584,55.6681532
Schools,CPH Cooking Class,12.5897706,55.6791516
Schools,Sunrise International Preschool,12.5702192,55.7258519
Schools,SingularityU Nordic,12.5534944,55.7043392
Schools,Hvidovre Musikskole,12.4761544,55.6489521
Schools,Skolen på Strandboulevarden,12.5880004,55.7023037
Schools,FGU Hovedstaden - Valby,12.5040440,55.6583890
Schools,Københavns Professionshøjskole,12.5372896,55.6640976
Schools,JUC SERVICE,12.5646570,55.6749490
Schools,Den Grønne Friskole,12.6213089,55.6644583
Schools,Langelinieskolen Holsteinsgade,12.5865382,55.6995722
Schools,Fensmarkskolen,12.5521220,55.6958778
Schools,Det frie Gymnasium,12.5454588,55.6891376
Schools,Østerbro Lilleskole,12.5801014,55.7108408
Schools,Terrible,12.5404065,55.6784806
Schools,TEC Frederiksberg,12.5190374,55.6828992
Schools,European School Copenhagen,12.5338545,55.6669100
Schools,NEXT,12.5405445,55.7184481
Schools,Afdeling hvidovre FGU Vestegnen,12.4494932,55.6324046
Schools,FGU Hovedstaden - Østerbro Køkken og Klima,12.5756591,55.6905392
Schools,FGU Gastro,12.5440289,55.6944710
Schools,Kastrupgårdsskolen,12.62782206666666666666666667,55.63319231666666666666666667
Schools,Korsvejens Skole,12.61851288888888888888888889,55.63449102222222222222222222
Schools,Skottegårdsskolen,12.63756468,55.63742132
Schools,Kirsebærhavens Skole,12.50316212307692307692307692,55.64852703846153846153846154
Schools,Nørre Fælled Skole,12.5584738,55.70506662
Schools,Risbjergskolen,12.48814745,55.64101735
Schools,Skolen på Duevej,12.52768127,55.69105187
Schools,Lindevangsskolen,12.50879606,55.6803374
Schools,Ingrid Jespersens Gymnasieskole,12.57844325,55.700516475
Schools,Dansborgskolen,12.483987575,55.6305484375
Schools,HF & VUC København Syd,12.50038916666666666666666667,55.64092021666666666666666667
Schools,Strandparkskolen,12.53022412222222222222222222,55.64504374444444444444444444
Schools,Grønnemose Skole,12.49719808775510204081632653,55.72812883877551020408163265
Schools,Tinderhøj Skole,12.45027441,55.69526544
Schools,Ellebjerg Skole,12.53232154,55.65055549
Schools,Esajasskolen,12.47966760666666666666666667,55.65057626
Schools,Enghavegård Skole,12.47675388,55.72449974
Schools,Korsager Skolen,12.46992599285714285714285714,55.70909353571428571428571429
Schools,Skolen på La Cours Vej,12.518279975,55.6850619375
Schools,Vadgård Skole,12.48761028,55.75122728
Schools,Gladsaxe Gymnasium,12.49144467272727272727272727,55.74218092727272727272727273
Schools,Kvikmarkens Privatskole,12.4887923375,55.747259625
Schools,Nørregård,12.42871778333333333333333333,55.66400883333333333333333333
Schools,Elverhøjens Skole,12.44675206153846153846153846,55.72676511538461538461538462
Schools,Nørrebro Park Skole,12.54516166470588235294117647,55.68995653529411764705882353
Schools,Nyager Skole,12.44754007777777777777777778,55.68862266666666666666666667
Schools,Sønderkærskolen,12.47626736,55.64903054
Schools,Hvidovre Gymnasium & HF,12.45272366666666666666666667,55.62867338333333333333333333
Schools,Store Magleby Skole,12.63767212727272727272727273,55.59520087272727272727272727
Schools,Løjtegårdsskolen,12.61956990588235294117647059,55.62373585882352941176470588
Schools,Nordregårdsskolen,12.60099632,55.6376384
Schools,Tårnby Gymnasium,12.60437808,55.63809552
Schools,Brøndbyøster Skole,12.44754758,55.66139418
Schools,Gasværksvejens Skole,12.55707052173913043478260870,55.66993057391304347826086957
