Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Kaj Birksteds Vej, 9430 Vadum",8.560 kr.,0 kr.,88 m²,3.0,-,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,A,"Skøn 3 værelses lejlighed i Vadum, tæt på skole, børnehave, bus og indkøb. Der er 20 minutter kørsel til Aalborg. 

Lejligheden er opført i 2020 i et helt nyt boligområde, er arkitekttegnet og udført i lyse kvalitetsmaterialer, med bl.a. Invita køkken og stor sydvendt overdækket altan (10 kvm). 

Lejligheden har ud sigt til sø med springvand. Den har et meget fint lysindfald og rummer samtidigt stor mulighed for privatliv. 

På fælles arealerne er der legeplads og små søer med springvand.",https://www.boligportal.dk/lejligheder/vadum/88m2-3-vaer-id-5378553
"Stærevej, 2400 København, København NV  - Stuen",13.630 kr.,1.100 kr.,94 m²,3.0,Stuen,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,B,"Vil du gerne bo centralt i Nordvest? Så er denne lyse og lækre lejlighed fra 2009 sikkert noget for dig. Her får du nemlig et rummeligt hjem, der er lige til at flytte ind i, da den er nymalet ved overtagelse. 

Du kommer til at bo i en nydelig ejendom med elevator, og indenfor venter der en praktisk entré, hvor der er godt med plads til både sko og overtøj. Soveværelset præsenterer sig utrolig stemningsfuldt, og du hurtigt får indrettet dig med dine møbler og personlige ejendele. I rummet finder du desuden hvide garderobeskabe, og de østvendte vinduespartier sikrer dig en fin udsigt til det charmerende gårdmiljø samt et dejligt lysindfald. Herefter kommer du forbi et pænt badeværelse med mørke gulvklinker, væghængt toilet, en separat bruseniche og rigelig skabsplads til toiletartiklerne. 

Boligens imponerende opholdsmiljø består af et køkken og en stue ud i ét, hvor du let kan etablere dig med en behagelig sofaafdeling og en hyggelig spiseafdeling, så du kan invitere gæster på besøg. Køkkenet er opført i et tidløst design og fremstår velholdt, mens prikken over i’et er den solrige altan, som snildt kan dekoreres med et cafésæt og blomsterkrukker. Fritiden kan også tilbringes udenfor på ejendommens grønne arealer, hvor din cykel i øvrigt kan parkeres.

Hverdagen kommer til at glide let og ubesværet, for du møder både bus og indkøb inden for gåafstand. Nørrebro Station er under halvanden kilometer væk, mens grønne områder såsom Nordvestparken findes lige i nærheden. Endelig udfolder Frederikssundsvejs mangfoldige byliv sig lige rundt om hjørnet, og skal du en tur ind til centrum, tager cykelturen blot et kvarters tid.

OBS! Billeder, plantegning og tekst er vejledende og kan afvige fra boligens faktiske forhold.

Hvis du er registreret i RKI kan vi desværre ikke tilbyde dig lejligheden. Dette kontrolleres ved udarbejdelse af lejekontrakt.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/94m2-3-vaer-id-5378455
"Flaskehalsen, 1799 København, København V  - 14. sal",12.500 kr.,950 kr.,54 m²,2.0,14.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,,"Vil du bo i Carlsbergbyen - så se her.....

Denne lejlighed ligger i det skønne Vogelius Tårn,  som har en skøn beliggenhed på grænsen mellem bylivet på det gamle Vesterbro og bylivet i det nye bykvarter lige ved Kildepladsen.
Med sine grønne træer, caféliv og en lille legeplads bliver den åbne plads et populært mødested i Carlsberg Byen, og skal du shoppe, kommer der hyggelige butiksstrøg i denne del af bykvarteret. I kan også gå ned i ejendommens gårdhave, der bliver en fredelig lille, grøn og gemt oase.
Skal du være den første til at bo i denne skønne lejlighed?
Lejligheden er optimalt indrettet, med praktisk fordeling mellem et soveværelse med skabsplads, et moderne badeværelse (med vaskesøjle - både vaskemaskine og tørretumbler) og et velindrettet kombineret køkken-alrum (ligeledes med alt i hårde hvidevarer) og stuen.
Billeder/plantegning er taget andre lejemål i Carlsberg byen og derfor ikke nødvendigvis fra denne bolig",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/54m2-2-vaer-id-5378518
"Lyndby Gade, 4070 Kirke Hyllinge, Lyndby  - 1. sal",9.900 kr.,1.400 kr.,96 m²,3.0,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,"Stor dejlig lejlighed i rolige omgivelser tæt på vand.
Kun 15 minutter i bil til Roskilde station.
Mulighed for hurtig overtagelse.",https://www.boligportal.dk/lejligheder/kirke-hyllinge/96m2-3-vaer-id-5378282
"Thomas Koppels Gade, 8000 Aarhus, Aarhus C  - 3. sal",5.400 kr.,500 kr.,10 m²,1.0,3.,Værelse,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Nej,A,"Står du og mangler et megafedt værelse/lejlighed i Århus C til studiestart, så læs her:
Jeg søger en roomie at dele denne helt nye lejlighed med. 
Den har solrig altan, badeværelse med vaske og tørre søjle. Stort moderne og helt nyt køkken med opvaskemaskine og gode opbevaringsmuligheder
Hyggeligt og lækkert møbleret fælles stue og spisebord område.
Der er et kælderrum samt cykelkælder.
Elevator i opgang / samt trapper. 
Der er to fælles tagterrasser samt en stor fælles gårdhave. Ja som du kan læse så bare genneralt mega fed.
Indflytning omkring 1. september, det kan vi aftale nærmere, så det passer med din studiestart.
Der er flere indkøbsmuligheder i nærområdet, bl.a. Rema1000 som er indenfor 100 m. 
Lejligheden ligger tæt på midtbyen og i gå/cykel afstand til botanisk have, Banegården samt grønne områder mm.

Lidt om dit værelse 🛏️
Du får et dejligt lyst værelse på 10 m2 med et stort vindue ud til fælles gårdmiljø.
Hele lejligheden er helt ny, Vi er de første der skal bo i den😊

Lidt om mig 💃
Jeg er en 20-årig pige, der flytter fra Fredericia til Århus den 15/8, for at starte på erhvervsakademiet, hvor jeg skal læse til Serviceøkonom, med start til september. 
Jeg er selv meget socialt anlagt, elsker at rejse, rolig, imødekommende og ansvarlig. Jeg elsker at hygge og sætter pris på hverdagshygge og gerne fællesspisning i løbet af ugen. Jeg er altid klar på en kop varm kakao eller en cocktail at hygge os med. I min fritid kan jeg godt lide at tage i byen med vennerne eller en brætspilsaften samt lave god mad.  Det vil være et mega plus, hvis vi i ny og næ kunne være sammen om at lave noget, når tiden er til det. Jeg sætter stor pris på et hyggeligt og rent hjem, hvor vi er fælles om opgaverne.

Dig som person🏄
Jeg søger en smilende og nogenlunde jævnaldrende, som er frisk på at indgå i et roomie fællesskab, hvor vi skaber et hyggeligt hjem sammen. Du er ansvarlig, rolig, sød, stabil, ikke-ryger, bidrager til de huslige pligter og søger fællesskabet, hvor der selvfølgelig også altid er plads til at lukke døren. Du er også studerende eller starter studiet her efter sommer så vi kan søge boligstøtte.

Til sidst 🔑
For mig er det vigtigste den gensidige respekt og jeg ønsker at vi begge kan føle os hjemme. Venner og familie skal naturligvis være mere end velkommen.

Hvis du synes det er noget for dig så send mig gerne en PB, hvor du skriver lidt om dig selv.
Jeg ser meget frem til at høre fra dig.
Filippa 🍸",https://www.boligportal.dk/v%C3%A6relser/aarhus/10m2-1-vaer-id-5378152
"Norgesgade, 6700 Esbjerg, Esbjerg  - 3. sal",6.700 kr.,400 kr.,80 m²,3.0,3.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,B,"Flot lejlighed i en stor ejendom i Esbjerg hvor hele ejendommen lige er blevet renoveret og der er altan og kæmpe gårdhave man kan benytte og sjældent man har så stor en gårdhave i Esbjerg,
Der er kommet nyt bruser og bygget en væg op inde ii soveværelse.
Og der er vaske/gøre maskine.
Der er kommet nyt designa køkken op
Og opvaske maskine. 
Men kun 2 min til banegården og 5 min til torvet i Esbjerg.
Kun 2 mdr indskud
Man må have hund",https://www.boligportal.dk/lejligheder/esbjerg/80m2-3-vaer-id-5193944
"Kirkely, 6000 Kolding",10.998 kr.,400 kr.,138 m²,4.0,-,Lejlighed,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,,"Rigtig lækker lejlighed på Kirkely i Bramdrupdam. Lejligheden er indrettet med entre med adgang til bryggers med vaskesøjle samt til toilet. I stueplan er der desuden lyst og åbent køkken/alrum samt et værelse. På 1. sal er der stue, badeværelse, soveværelse med walk-in-closet og et værelse. 
Egen have og carport med skur.
Mulighed for husdyr.
Parkering.  
Fjernvarme.

Boligstøtte
På Kolding Kommunes hjemmeside kan du beregne, om du er berettiget til boligstøtte.",https://www.boligportal.dk/lejligheder/kolding/138m2-4-vaer-id-4879785
"Rosengården, 1174 København, København K  - 4. sal",6.458 kr.,466 kr.,20 m²,1.0,4.,Værelse,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Nej,C,"Halløjsa,

Københavns nok hyggeligste lejlighed, med de skønneste to gutter, søger en roomie!

Jeg flyver fra reden og gutterne på Rosengården. søger derfor en ny roomie.

Lejligheden ligger som øverste lejlighed og med direkte adgang til tagterrassen. Tætteste kendte naboer er Kultorvet og Nørreport.
Lejligheden er en 5 værelses herskabslejlighed på 137 kvm.

Lejligheden består af entré, stor stue, køkken med opvaskemaskine, badeværelse med stor brusekabine og toilet, tørretumbler og vaskemaskine, derudover et lille ekstra toilet, kontor og fælles tagterrasse. Derudover tre store soveværelser. Hvoraf der ved samtale kan snakkes om hvilket værelse der passer dig bedst. Begge værelser ca. 20 kvm2 og dejligt lyse værelser hvor det ene vender ind mod gården og det andet mod den dejlige sidegade til Strøget.

Du kommer til at bo med verdens sødeste mænd:

Steven på 30 år fra Skotland, som er den helt skarpe i blandt os. Han arbejder dagligt på Novo Nordisk og bruger meget af sin tid dér. Når han er hjemme, så holder han af at hygge med sine roomies og dele lidt dagligdagstanker. 

Giannis på 27 år fra Grækenland, er altid imødekommende, glad og smilende. Han er altid klar på en samtale og lave noget mad sammen - hvis det skulle friste!

Der søges en rolig og moden lejer, som vægter en pæn lejlighed og et hyggeligt hjem højt.

Rent praktisk:
Overtagelse 1.september/så snart som muligt (fleksible ifht dato)
Prisen er 6900kr plus forbrug, som svinger lidt (ca.7200kr alt inklusivt, forsikring, el, wifi, osv.)
Dertil kommer der et depositum på 32.000. (Ved indflytning 38.900, første måneds husleje plus depositum)
Dette er 3 måneders forudbetalt husleje og resterende i depositum for lejligheden.
Lejen er ubegrænset, men vi ser helst at du vil bo her i minimum 1 år.

Du kan kontakte mig her. Derefter vil vi sammen kigge ansøgninger igennem.🌷✨

Bedste hilsner Giannis & Steven",https://www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/20m2-1-vaer-id-5378127
"Toldbodgade, 9000 Aalborg, Aalborg  - 1. sal",7.475 kr.,884 kr.,78 m²,2.0,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,C,"Dejlig 2 vær. lejlighed med meget stor sydvendt altan, porttelefon med video samt udsigt over fjorden.
Hvidt køkken med maghonikante. Der er i lejligheden installeret:
Nyere badeværelse med følgende installeret:
Der er afhøvlede og oliebehandlede trægulve i entre, stue og soveværelse samt linoleum i køkken.
Garderobeskabe med skydelåger i soveværelse.
Der kan ikke gives tilladelse til husdyr i denne ejendom.",https://www.boligportal.dk/lejligheder/aalborg/78m2-2-vaer-id-5011813
"Brassøvej, 8240 Aarhus, Risskov  - 1. sal",11.495 kr.,300 kr.,106 m²,4.0,1.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,A,"SKØN 4'ER TIL FAMILIEN I STUEPLAN

Lejligheden er perfekt for det unge par, de 3 studerende eller den enlige der har behov for 3 værelser samt et rummeligt køkken.  

Lejligheden indeholder: 
- Stort køkkenalrum med plads til spisebord og sofastue 
- Opvaskemaskine, køleskab/fryser indrettet i køkkenet
- 3 værelser med plads til seng, skab og skrivebord
- Depotrum i kælderen samt cykelkælder 
- Vaskemaskine og tørretumbler
- Egen stor solterrasse
- Gulvvarme og ventilationsanlæg 
- Elevator
- Indkøb & fitness rundt om hjørnet
- Letbane samt bus i gåafstand. Cirka 10-15 min til Aarhus C
- Gratis parkering
- Husdyr tilladt

*Aconto dækker vand på kr. 300,-. El og varme afregnes direkte til forsyningsværket. 

Kontakt os for for mere information, eller for fremvisning allerede i dag :-)",https://www.boligportal.dk/lejligheder/aarhus/106m2-4-vaer-id-5309492
