Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Skindergade, 1159 København, København K  - 2. sal",København,Skindergade,1159,55.679901,12.574697,19.500 kr.,2.000 kr.,142 m²,4,2.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,D,"Se gerne videoen i annoncen for at få et bedre indblik i lejlighedens indretning.

I sin indretning er den mest egnet til et par, som ønsker god plads, i det der er gennemgang i gennem værelserne for at komme til badeværelset.
 
Ønskes ikke udlejet til flere, som vil dele den. 

Lejligheden er total nyrenoveret. 
 
Lejligheden dækker en fuld etage, har udsigt til Skindergade og Lille Kirkestræde, og
den har en stille gård i midten.
 
Stuerne ligger i forlængelse af hinanden ud mod de to veje.
 
Fra hovedtrappen adgang til et lille værelse mod Skindergade og til køkkenet .
 
Fra køkkenet adgang til et stort og et mindre værelse ud mod Skindergade.
 
Ligeledes fra køkkenet adgang til lejlighedens store hjørneværelse, samt til et stort gennemgangsværelse ud mod Lille Kannikestræde.
 
Sidste værelse fører via en lille gang til ejendommens brusebadeværelse og et stort soveværelse, der går ud til ejendommens
bagtrappe.
 
Alt i hårde hvidevarer. 
  
Ejendommen er fredet.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/142m2-4-vaer-id-5283332
"Alexander Foss Gade, 9000 Aalborg, Aalborg  - 1. sal",Aalborg,Alexander Foss Gade,9000,57.035693,9.935286,8.495 kr.,775 kr.,82 m²,3,1.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Nej,Ja,A,"Her er muligheden for at leje en virkelig lækker 3-værelseslejlighed med tagterrasse på toppen af bygningen med fantastisk udsigt udover Aalborg. Herudover får du en gratis parkeringslicens.
Ejendommen ligger i den attraktive bydele “Eternitten”, hvor ejendommen er et af Dansk Eternit Fabriks gamle bygninger, som er ombygget og totalrenoveret til 29 skønne lejligheder med unikke spor fra de gamle facader.
Lejligheden er indrettet med lyse trægulve og store vinduespartier. Lejligheden er indrettet med et stort køkkenalrum og stue med fantastisk lysindfald fra begge sider, så man får opholdsrum med masser af dagslys.
Værelserne har indbyggede skabe og i soveværelset er der skydelåger, der gør det let at møblere. Derudover har lejligheden et forholdsvis stort badeværelser med bruseniche og vaskesøjle.
Hver bolig har fransk altan og adgang til en stor fælles tagterrasse med udsigt over området. Derudover er der mulighed for at indrette en hyggelig krog i de små udposninger på svalegangen, der leder ind til boligerne.
Der er indlagt fibernet i ejendommen, og der er mulighed for frit at vælge internetudbyder, der kan blandt andet vælges imellem Hiper, Kviknet og Fastspeed m.fl.
OBS: Billederne er fra en af ejendommens øvrige boliger, hvorfor indretningen kan variere fra dette lejemål.



Der medfølger en gratis parkeringslicens til lejligheden, der giver adgang til parkering på parkeringspladsen lige ved siden af ejendommen.



Det er ikke tilladt med husdyr i ejendommen, men der kan gives sær-tilladelse til en lille hund (ikke kat).",https://www.boligportal.dk/lejligheder/aalborg/82m2-3-vaer-id-5226341
"Huslodsvej, 7000 Fredericia  - Stuen",Fredericia,Huslodsvej,7000,55.574536,9.76315,4.800 kr.,790 kr.,57 m²,2,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,,"2 vær. lejlighed i solid rødstenejendom i Vestbyen få minutters gang fra voldene og med supermarked lige om hjørnet. 
Her er: Entre, opholdsstue, soveværelse med udgang til altan, lyst køkken, badeværelse med bruser. 
Der er lakerede trægulve i entre og opholdsrum.
Desuden cykelrum og sep. kælderrum.
Fælles vaskekælder.",https://www.boligportal.dk/lejligheder/fredericia/57m2-2-vaer-id-1130492
"Søtorvet, 8600 Silkeborg  - 1. sal",Silkeborg,Søtorvet,8600,56.170988,9.55337,11.350 kr.,1.260 kr.,112 m²,3,1.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,,"Bo til leje på Søtorvet og bliv en del af den nye bypark, hvor hele Silkeborg mødes. Her bor du i forreste række, højt hævet over byen.

Den attraktive beliggenhed midt mellem natur og byliv skaber endeløse muligheder for en livsnydende tilværelse i centrum af Silkeborg.
Fra solen stiger op over søen, og farver Søtorvets tårne orange, til en aftentur i skumringen på den grønne promenade. Her handler livet udelukkende om nydelse. Nyd altanens udsigt til Silkeborgs pragtfulde natur.

Indvendigt fortsætter fortællingen om lys, luft og natur. De store vinduespartier lader lyset strømme ind på de moderne detaljer, det eksklusive, hvide køkken med hårde hvidevarer fra Electrolux, for ikke at glemme de smukke egetræsgulve, der bringer naturen helt ind i stuen.
Søtorvet er realiseringen af det komfortable liv med alt inden for rækkevidde.

NB. Billederne er fra en prøvebolig.",https://www.boligportal.dk/lejligheder/silkeborg/112m2-3-vaer-id-5221024
"Dyrkøb, 1166 København, København K  - 3. sal",København,Dyrkøb,1166,55.679014,12.573112,23.000 kr.,,155 m²,5,3.,Lejlighed,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,"Velkommen til denne smukke og meget centralt beliggende bolig. Søger du en central beliggende lejlighed, med yderst gennemført og stilren indretning, er denne bolig alt hvad man kan drømme om. Du ankommer til boligen, hvor entre og fordelingsgang fører dig til henholdvis køkken i den ene ende, og værelser i den anden. Det lyse køkken er nyt og enkelt i designet. Bordpladen er i vasket stål som er nem at rengøre, og fronterne er holdt hvide. Alle hårde hvidevarer er nye og moderne. I køkkenet findes også en fin alkove, for ekstra siddeplaser eller hyggelige stunder med morgenkaffen. Badeværelset er ligeså yderst velholdt, holdt i hvide elementer. Alle værelser i boligen er yderst velindrettet i tidsløst design, som er nemt at falde til i. Boligen har desuden smukke høje paneler, stuk og rosetter og et rigtig godt lysindfald i alle værelser. Aconto varme: DKK 1500 pr måned Aconto vand: DKK 600 pr månedVaskefaciliter: I boligen.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/155m2-5-vaer-id-5177699
"Åparken, 9000 Aalborg, Aalborg  - 1. sal",Aalborg,Åparken,9000,57.040666,9.923476,8.795 kr.,1.010 kr.,89 m²,3,1.,Lejlighed,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Nej,,"Lyse lejeboliger i naturskønne omgivelser med stor solrig altan

Østeråparken byder på 200 skønne lejeboliger på Godsbanen i Aalborg – en attraktiv ny bydel, der er skudt op blandt togskinner og lysmaster og nu byder på grønne oaser og på sigt den fritlagte Østerå.

Lejeboligerne er veldisponerede og indbydende med lyse trægulve og store vinduespartier fra gulv til loft, der lader dagslyset strømme ind.

De har indbyggede skabe, der gør det let at møblere dine værelser, og mange af dem er desuden indrettet med et ekstra 3 m2 opbevaringsrum i forlængelse af soveværelset, der er oplagt at bruge som walk-in-closet.

Hver bolig har sin egen store, solrige altan ­ eller terrasse i stueetagen – ud mod det hyggelige gårdmiljø og den kommende å. Altanerne er afskærmet med glas, der giver læ, udsigt og et elegant udtryk på én gang. For at sikre mere privatliv er en af siderne holdt i en varm, bruneret aluminium.

Østeråparken byder både på mindre 2- og 3-værelses lejligheder samt større 3-værelses lejligheder, der ud over altanen også har fransk altan i begge værelser. Der er altså plads til både børnefamilier, studerende, par og singler, hvilket skaber masser af liv og dynamik.

Ejendommen er endvidere beliggende tæt på offentlige transportmidler, som bus og tog. Herudover er ejendommen beliggende midt i Aalborg Centrum tæt på indkøbsmuligheder, Musikkens Hus, Nordkraft, grønne parker m.m.

OBS: Billederne kan være af en prøvebolig og ikke den specifikke bolig.",https://www.boligportal.dk/lejligheder/aalborg/89m2-3-vaer-id-5379377
"Stadion Alle, 8000 Aarhus, Aarhus C  - 5. sal",Aarhus,Stadion Alle,8000,56.142162,10.194093,4.600 kr.,300 kr.,30 m²,1,5.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,D,"På Stadion Allé udlejes nu denne harmerende 1 vær lejlighed med hems og eget the-køkken i et separat rum.
Hemsen er med ovenlysvindue og særdeles velegnet til soveafdeling.

Der er fælles badeværelse og vaskemaskine / tørretumbler med 2 andre lejere.

BBR areal 30 kvm + hems 

Pulterum, cykelkælder, tørrerum, fælles grønt område

Rygning og husdyr ej tilladt i bygningen.

Lejeperioden er ubegrænset - minimum 12 mdr.",https://www.boligportal.dk/lejligheder/aarhus/30m2-1-vaer-id-3378123
"Borgergade, 6000 Kolding  - 1. sal",Kolding,Borgergade,6000,55.49132,9.469015,6.055 kr.,1.140 kr.,88 m²,3,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,"Vi kan nu tilbyde denne bolig på 88 m2 beliggende i Kolding
For at kunne leje denne bolig, kræver det man er medlem af boligforeningen. På BoligPortal annonceres kun reelt ledige boliger uden eksisterende venteliste på annonceringstidspunktet. Venligst kontakt udlejer hvis du er interesseret i lejemålet.",https://www.boligportal.dk/lejligheder/kolding/88m2-3-vaer-id-5379376
"Åboulevarden, 8700 Horsens  - 1. sal",Horsens,Åboulevarden,8700,55.86016,9.854142,4.680 kr.,700 kr.,57 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,,"En 2-værelses velindrettet lejlighed på Åboulevarden tæt på centrum af Horsens centrale tilbud, med strøget, havnen, cafeerne og indkøbsmuligheder få hundrede meter derfra. 	
Lejligheden har ældre, men ny afslebne trægulve. køkkenet er velindrettet og badeværelset indeholder toilet og brus.  Der er gratis parkering lige foran ejendommen. 

Der er adgang til vaskemaskine og tørretumbler i tilstødende bygninger.  						
Husdyr er ikke tilladt. 

Vi søger lejere der behandler både ejendom og med-beboere godt og ansvarsbevidst.",https://www.boligportal.dk/lejligheder/horsens/57m2-2-vaer-id-3120822
"Åparken, 9000 Aalborg, Aalborg  - 1. sal",Aalborg,Åparken,9000,57.041219,9.925543,6.295 kr.,670 kr.,49 m²,2,1.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,,"Lyse lejeboliger i naturskønne omgivelser med stor solrig altan

Østeråparken byder på 200 skønne lejeboliger på Godsbanen i Aalborg – en attraktiv ny bydel, der er skudt op blandt togskinner og lysmaster og nu byder på grønne oaser og på sigt den fritlagte Østerå.

Lejeboligerne er veldisponerede og indbydende med lyse trægulve og store vinduespartier fra gulv til loft, der lader dagslyset strømme ind.

De har indbyggede skabe, der gør det let at møblere dine værelser, og mange af dem er desuden indrettet med et ekstra 3 m2 opbevaringsrum i forlængelse af soveværelset, der er oplagt at bruge som walk-in-closet.

Hver bolig har sin egen store, solrige altan ­ eller terrasse i stueetagen – ud mod det hyggelige gårdmiljø og den kommende å. Altanerne er afskærmet med glas, der giver læ, udsigt og et elegant udtryk på én gang. For at sikre mere privatliv er en af siderne holdt i en varm, bruneret aluminium.

Østeråparken byder både på mindre 2- og 3-værelses lejligheder samt større 3-værelses lejligheder, der ud over altanen også har fransk altan i begge værelser. Der er altså plads til både børnefamilier, studerende, par og singler, hvilket skaber masser af liv og dynamik.

Ejendommen er endvidere beliggende tæt på offentlige transportmidler, som bus og tog. Herudover er ejendommen beliggende midt i Aalborg Centrum tæt på indkøbsmuligheder, Musikkens Hus, Nordkraft, grønne parker m.m.

OBS: Billederne kan være af en prøvebolig og ikke den specifikke bolig.",https://www.boligportal.dk/lejligheder/aalborg/49m2-2-vaer-id-5379381
"Åparken, 9000 Aalborg, Aalborg  - 3. sal",Aalborg,Åparken,9000,57.040666,9.923476,8.995 kr.,1.010 kr.,89 m²,3,3.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,,"Lyse lejeboliger i naturskønne omgivelser med stor solrig altan

Østeråparken byder på 200 skønne lejeboliger på Godsbanen i Aalborg – en attraktiv ny bydel, der er skudt op blandt togskinner og lysmaster og nu byder på grønne oaser og på sigt den fritlagte Østerå.

Lejeboligerne er veldisponerede og indbydende med lyse trægulve og store vinduespartier fra gulv til loft, der lader dagslyset strømme ind.

De har indbyggede skabe, der gør det let at møblere dine værelser, og mange af dem er desuden indrettet med et ekstra 3 m2 opbevaringsrum i forlængelse af soveværelset, der er oplagt at bruge som walk-in-closet.

Hver bolig har sin egen store, solrige altan ­ eller terrasse i stueetagen – ud mod det hyggelige gårdmiljø og den kommende å. Altanerne er afskærmet med glas, der giver læ, udsigt og et elegant udtryk på én gang. For at sikre mere privatliv er en af siderne holdt i en varm, bruneret aluminium.

Østeråparken byder både på mindre 2- og 3-værelses lejligheder samt større 3-værelses lejligheder, der ud over altanen også har fransk altan i begge værelser. Der er altså plads til både børnefamilier, studerende, par og singler, hvilket skaber masser af liv og dynamik.

Ejendommen er endvidere beliggende tæt på offentlige transportmidler, som bus og tog. Herudover er ejendommen beliggende midt i Aalborg Centrum tæt på indkøbsmuligheder, Musikkens Hus, Nordkraft, grønne parker m.m.

OBS: Billederne kan være af en prøvebolig og ikke den specifikke bolig.",https://www.boligportal.dk/lejligheder/aalborg/89m2-3-vaer-id-5379382
"Lind Hovedgade, 7400 Herning, Lind",Herning,Lind Hovedgade,7400,56.107166,8.978796,9.000 kr.,400 kr.,144 m²,6,-,Hus,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,E,"Centralt på Lind Hovedgade 8, i byen af samme navn, bliver I mødt af dette indbydende hus, der er løbende istandsat. Boligen fordeler sig over halvandet plan med fem værelser, et køkken, en stue, et badeværelse og et gæstetoilet, og dertil kommer en yderst anvendelig kælder med god lofthøjde. Huset har træ/alu-vinduer fra 2014, og udendørs venter en stor, nem have med masser af sol. 

Ejendommen overtages som den er og er klar til lejer nu. 

kontakt os for fremvisning / spørgsmål.",https://www.boligportal.dk/huse/herning/144m2-6-vaer-id-5379380
"Lillemosevej, 2640 København, Hedehusene",København,Lillemosevej,2640,55.60789,12.202143,4.800 kr.,500 kr.,50 m²,2,-,Hus,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,,"Lejlighed med køkken alrum, soveværelse, bad toilet  og egen carport.
søger moden person der sætter pris på natur og skov, nabo til det naturskønne hedeland og alligevel centralt tæt på tune, Hedehusene og roskilde, tåstrup.",https://www.boligportal.dk/huse/k%C3%B8benhavn/50m2-2-vaer-id-5379343
"Gramrolighed, 6000 Kolding  - 1. sal",Kolding,Gramrolighed,6000,55.495937,9.477666,6.545 kr.,1.000 kr.,77 m²,2,1.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,,"Vi kan nu tilbyde denne bolig på 77 m2 beliggende i Kolding
For at kunne leje denne bolig, kræver det man er medlem af boligforeningen. På BoligPortal annonceres kun reelt ledige boliger uden eksisterende venteliste på annonceringstidspunktet. Venligst kontakt udlejer hvis du er interesseret i lejemålet.",https://www.boligportal.dk/lejligheder/kolding/77m2-2-vaer-id-5379370
"Middelfartvej, 5200 Odense, Odense V  - 2. sal",Odense,Middelfartvej,5200,55.394171,10.352579,5.300 kr.,700 kr.,50 m²,2,2.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,,"Velkommen til Middelfartvej, hvor vi med glæde præsenterer denne dejlige 2-værelses lejlighed. Hele ejendommen er nydeligt forsynet med nye vinduer.

Når du træder indenfor, vil du opdage, at lejemålet byder på en indbydende entré med plads til både sko og overtøj. Køkkenet er velindrettet og overrasker med en smart integreret bruseniche. Derudover finder du et toilet, en charmerende stue med både spise- og afslapningsområde samt et hyggeligt værelse.

Beliggenheden er yderst attraktiv med gode muligheder for shopping og indkøb i nærheden af byens pulserende liv. Offentlig transport er let tilgængelig, og du vil også værdsætte nærheden til letbanen, som giver dig ekstra bekvemmelighed i din dagligdag.

I kælderen står et fællesvaskeri til din rådighed, og der er også et praktisk depotrum til opbevaring.

Kontakt os gerne for at arrangere en fremvisning!",https://www.boligportal.dk/lejligheder/odense/50m2-2-vaer-id-5379366
"Prinsensgade, 9000 Aalborg, Aalborg  - 3. sal",Aalborg,Prinsensgade,9000,57.046298,9.91485,8.495 kr.,850 kr.,110 m²,3,3.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,,"Lejligheden har et nyere lyst køkken med stort kølefryseskab og opvaskemaskine. Badeværelset er ligeledes renoveret med separat bruseniche, opbevaring under vasken og LED lys i spejlet.Med en adresse midt i Aalborg Centrum får du let adgang til byens pulserende liv. Butikker, restauranter, caféer og offentlig transport er alle inden for gåafstand, hvilket gør din hverdag både praktisk og spændende.",https://www.boligportal.dk/lejligheder/aalborg/110m2-3-vaer-id-4400930
"Jacob Gades Stræde, 7100 Vejle",Vejle,Jacob Gades Stræde,7100,55.708493,9.538446,6.750 kr.,650 kr.,57 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,"Her finder du en lækker lejlighed med egen indgang. 
Lejligheden har adgang til gårdhave med egen lille terrasse 
Stort badeværelse med gulvvarme og vask/tørretumbler.",https://www.boligportal.dk/lejligheder/vejle/57m2-2-vaer-id-4797039
"Lokesvej, 8230 Aarhus, Åbyhøj  - 1. sal",Aarhus,Lokesvej,8230,56.148661,10.166714,11.500 kr.,400 kr.,104 m²,4,1.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,A,"OBS! Billederne er af en lignende lejlighed.

Lejligheden har stue, som er i åben forbindelse med det lyse Invita køkken og tre gode værelser. Derved er lejligheden anvendelig som delebolig. 

Lejligheden har altan. Der vil være adgang til depotrum i kælderen samt mulighed for tilleje af p-plads i p-kælderen. Der kan gives særskilt tilladelse til én enkelt hund (lille) eller én indekat. 

Åbyen er en del af det nye brokvarter, der ligger ved Søren Frichs Vej, som er i rivende udvikling. Åbyen er tæt på uddannelsesinstitutioner, Ceres Byen og Aarhus midtbys mange faciliteter.

El og varme tilsluttes direkte til forsyningsselskaberne.",https://www.boligportal.dk/lejligheder/aarhus/104m2-4-vaer-id-4735106
"Ll. Sct. Hans Gade, 8800 Viborg  - 1. sal",Viborg,Ll. Sct. Hans Gade,8800,56.452513,9.407408,5.350 kr.,1.250 kr.,60 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,"Hyggelig 2 værelses taglejlighed: indeholder: Entre, nyt køkken med køle/frys, ovn, kogeplader, emhætte og opvaskemaskine. Dejlig stue og soveværelse samt badeværelse med bruser og mulighed for vaskemaskine. Der er fælles vaskeri til lejemålet.",https://www.boligportal.dk/lejligheder/viborg/60m2-2-vaer-id-5201222
"Havnen, 8700 Horsens  - 2. sal",Horsens,Havnen,8700,55.85883,9.862237,10.900 kr.,1.030 kr.,95 m²,3,2.,Lejlighed,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,A,"Med en placering i første række til vandet er beliggenheden helt unik i Horsens. Lejligheden består af et åbent køkkenalrum i forbindelse med stuen. Herfra er der udgang til den sydvendte altan, og hele den ene endevæg er ét stort glasparti, hvor lyset strømmer igennem. Køkkenet er med hvide elementer, grebsfrit og med sort granitbordplade og indbygget opvaskemaskine.

Soveværelset og værelset har en god størrelse og megen skabsplads.  Der er gennemgående sildebensgulv og mange lækre detaljer i hele lejligheden. Badeværelset er indrettet i samme stil som køkkenet, og i brusenichen er der installeret en komfortabel rain shower bruseløsning med separat håndbruser.

Midtbyen med gågaden, caféliv og de mange shopping- og indkøbsmuligheder ligger inden for gåafstand, ligesom der er offentlige transportmuligheder lige ved døren.

I bygningen er der elevator, cykelparkering samt depotrum, og der er mulighed for leje af parkeringsplads i Nordhavnens P-hus

Billederne er fra en lejlighed magen til på 1. sal",https://www.boligportal.dk/lejligheder/horsens/95m2-3-vaer-id-5379308
