Adress,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Byhaven, 5854 Gislev",5.214 kr.,1.650 kr.,63 m²,2,-,Rækkehus,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Nej,N/A,"Byhaven består af boliger i tæt-lav bebyggelse i to plan, opført i 1990. 3 af boligerne er ungdomsboliger. Man skal kunne fremvise uddannelsesattest (skole, læreplads eller lignende) for at komme i betragtning til en ungdomsbolig , og boperioden er tidsbegrænset til uddannelsesslut.Opvarmningen sker med naturgas.
Boligen
Afdelingen har både 1, 2 og 4 rums boliger. 2 rums boligen har fx separat køkken, stue, badeværelse, entre og bryggers med plads til vaskemaskine og tørretumbler. I soveværelset er der indbyggede skabe. Fra stueetagen er der udgang til en lille terrasse.
Boligerne har desuden komfur og køleskab.
Beliggenhed
Byhaven ligger i en lille landsby i et hyggeligt lokalsamfund, hvorfra der er gode transportforbindelser. Der er desuden rig mulighed for at nyde de omliggende grønne områder.
Beboerne
Bebyggelsen er er velegnet for børnefamilier, og har en blandet beboersammensætning med børnefamilier, unge og ældre. På det årlige møde for alle afdelingens beboere beslutter beboerne alle forhold omkring afdelingens drift og husleje mv.
For at kunne leje en ungdomsbolig i afdelingen, kræver det at man er under uddannelse og kan fremvise enuddannelsesattest (studie, læreplads ell lign.). Derudover er lejeperioden tidsbegrænset.
Indret dig som du vil
Du kan frit indrette dig som du vil og forbedrer du boligen kan du få op til 100.000 kr. i godtgørelse ved fraflytning. Flere beboere har inddækket altan eller indrettet udestue.
Vedligeholdelse
Bebyggelsen er velvedligeholdt og en ejendomsfunktionær kommer hver uge og vedligeholder de grønne områder og tager sig af mindre reparationer i boligerne. Der er også tilknyttet en inspektør, der sørger for den løbende vedligeholdelse af bebyggelsen.
For at kunne leje denne bolig, kræver det man er medlem af boligforeningen. På BoligPortal annonceres kun reelt ledige boliger uden eksisterende venteliste på annonceringstidspunktet. Venligst kontakt udlejer hvis du er interesseret i lejemålet.",https://www.boligportal.dk/r%C3%A6kkehuse/gislev/63m2-2-vaer-id-4244483
"Nørregade, 5000 Odense, Odense C  - 1. sal",10.192 kr.,800 kr.,100 m²,4,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,F,"Lejlighed med masser af lys og gode rum.
 
Stor lejlighed med flot hvidt køkken med alle hårde hvidevarer. 
Flot badeværelse med vaskemaskine og tørretumbler. 
Lejligheden indeholder desuden stue/alrum samt samt 3 værelser

Her er fælles tagterrasse.",https://www.boligportal.dk/lejligheder/odense/100m2-4-vaer-id-5257077
"Jarlsberggade, 5000 Odense, Odense C  - Stuen",8.050 kr.,820 kr.,64 m²,3,Stuen,Lejlighed,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Nej,A,"Velkommen indenfor i denne dejlige, nyopførte 3-værelses lejlighed, der er perfekt til parret, veninderne eller den lille familie. Lejligheden er beliggende i Slagteribyen - en helt ny bydel på den tidligere slagterigrund ved Odense bymidte, som nu omdannes til en boligområde på cirka 28.000 kvadratmeter.

Med en lejlighed i Slagteribyen bor du i gå- og cykelafstand til centrum, banegården, havnebadet, Kongens Have og gågaden. Du har desuden kun 2,3 kilometer til Odense Universitetshospital og 5,5 kilometer til Syddansk Universitet.

Lejlighedens 64 kvadratmeter fordeler sig på et dejligt opholdsrum bestående af kombineret køkken-alrum og stue, 2 gode værelser samt et moderne badeværelse med smukke klinker, vaskesøjle fra Electrolux, væghængte elementer samt separat bruseniche.

Køkkenet er opført i stilrene og tidløse kvalitetselementer fra HTH-køkkener og indeholder desuden opvaskemaskine, så opvasken let kan klares i en travl hverdag.

Fra opholdsrummet har du udgang til lejlighedens dejlige altan.

OBS. Billeder er fra den etablerede prøvebolig. Se plantegning for retvisende planløsning.

Kontakt os endelig, hvis du ønsker en fremvisning!",https://www.boligportal.dk/lejligheder/odense/64m2-3-vaer-id-5329675
"Tømmergården, 8881 Thorsø  - 1. sal",5.688 kr.,1.159 kr.,76 m²,2,1.,Lejlighed,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,N/A,"Lejemålet er beliggende på Tømmergården og består af 2 værelser samt køkken og bad. Lejemålet er 76 m2 og er klar til overtagelse 15-09-2023. Månedlig husleje er 5688 kr. og indskud beløber sig til 18000 kr. 

Send en besked, hvis lejemålet har fanget din interesse.

Mandag: 9-13
Tirsdag: 9-13 & 15-16.30
Onsdag: 9-13
Torsdag: 9-13 & 15-16.30
Fredag: 9-13

For at kunne leje denne bolig, kræver det man er medlem af boligforeningen. På BoligPortal annonceres kun reelt ledige boliger uden eksisterende venteliste på annonceringstidspunktet. Venligst kontakt udlejer hvis du er interesseret i lejemålet.",https://www.boligportal.dk/lejligheder/thors%C3%B8/76m2-2-vaer-id-3811817
"Gubsøtoften, 8600 Silkeborg",11.995 kr.,N/A,127 m²,5,-,Rækkehus,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,N/A,"Rummelig køkken-alrum
I boligen får du et stort køkken-alrum, med loft til kip. Køkkenet har køkkenø med plads til at familien kan samles omkring madlavningen. I køkken-alrummet er der god plads til det lange spisebord, samt en hyggelig sofakrog.
Fire gode værelser
Rækkehuset har fire gode værelser med faste HTH skabe, og en størrelse som giver et hav af indretningsmuligheder, for både singlen, parret eller familien.
Funktionelt bryggers
Det funktionelle bryggers fungerer også som entré. Her er der vaskemaskine, tørretumbler samt vask. Entréen har direkte adgang til badeværelset samt husets hjerte, det store køkken-alrum.
Dejlig terrasse
Fra køkken/alrummet er der en havedør med direkte adgang til den flisebelagte terrasse, hvilket skaber en helt naturlig forbindelse med inde- og udeliv.
Parkering
Til boligen hører egen indkørsel med plads til bil, samt et skur.
*Billeder er fra tilsvarende lejemål.",https://www.boligportal.dk/r%C3%A6kkehuse/silkeborg/127m2-5-vaer-id-5361725
"Jeppe Aakjærsvej, 7800 Skive, Skive By  - 2. sal",3.000 kr.,900 kr.,62 m²,2,2.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Lejemålet er beliggende på Jeppe Aakjærsvej og består af 2 værelser samt køkken og bad. Lejemålet er 62 m2 og er klar til overtagelse snarest. Månedlig husleje er 3000 kr. og forudbetalt husleje og depositum beløber sig til i alt 9000 kr. 

Send en besked, hvis lejemålet har fanget din interesse.",https://www.boligportal.dk/lejligheder/skive/62m2-2-vaer-id-4976472
"Robert Jacobsens Vej, 2300 København, København S  - Stuen",14.000 kr.,1.200 kr.,100 m²,4,Stuen,Lejlighed,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,A,"I det sydlige Ørestad finder du denne lækre lejlighed i en ejendom fra 2016. Indenfor venter der dig en god planløsning, skønne rammer og et dejligt lysindfald, mens prikken over i’et er den store, solrige altan. 

Boligens hjerterum er uden tvivl det indbydende opholdsrum, hvor køkken og stue integreres fuldt ud. Det ensidede køkken præsenterer sig moderne og tidløst med hvide grebsfri låger, mens spotsene under overskabene er med til at tilføje et godt arbejdslys, når der kokkereres. Grundet opholdsrummets størrelse kan du sagtens indrette dig med en sofakrog og en spiseafdeling, så du kan få venner og familie på besøg til middag i weekenden. Dernæst opdager du et disponibelt rum, hvor støvsugeren kan gemmes væk. Lejlighedens badeværelse rummer meget praktisk en vaskesøjle. 

Når vejret arter sig, er det oplagt at tilbringe de lune eftermiddagstimer på altanen. Den kan nemt dekoreres med et sæt cafémøbler, en lille grill og grønne planter, hvis dette ønskes. Bebyggelsen giver tilmed adgang til et hyggeligt gårdmiljø og kanalen, der begge er oplagte samlingspunkter i sommerhalvåret.

Få minutters gang fra hjemmet findes Vestamager Station, og herfra kan du stige på metroen, som hurtigt og bekvemt fører dig ind til centrum. Du får omtrent én kilometer til Field’s, som byder på et væld af butikker, spisesteder, en biograf samt Bilka, hvor du kan handle ind i hverdagen. 

Det er værd at nævne, at lejligheden fremstår nyistandsat ved indflytning.

OBS! Billeder, plantegning og tekst er vejledende og kan afvige fra boligens faktiske forhold.

Hvis du er registreret i RKI kan vi desværre ikke tilbyde dig lejligheden. Dette kontrolleres ved udarbejdelse af lejekontrakt.",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/100m2-4-vaer-id-5364183
"Pollenvænget, 8381 Aarhus, Tilst  - 3. sal",11.875 kr.,750 kr.,107 m²,4,3.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,N/A,"1 måneds huslejefrihed


Honningvænget & Pollenvænget består af 110 lejelejligheder beliggende ved det tidligere GASA i Tilst. Lejlighederne findes med 2-5 værelser og i størrelserne 63-132 m2. Der kan vælges imellem en række forskellige boligtyper, der varierer i størrelse, værelser og planløsninger.

Alle boliger har tilhørende kælderrum på 2 kvadratmeter og der er fællesparkering i området, samt cykelparkering i gården og kælderen. Derudover har alle boligerne enten altan eller terrasse og beboerne kan også nyde godt af en gårdhave og et fælles opholdsareal i området.

Det er muligt at få godkendelse for op til to husdyr.

De lyse boliger er tidløst indrettet, med hvide vægge og loft. Køkken og stue er i ét og skaber derfor et hyggeligt samlingspunkt i boligen. Badeværelset har grå klinker og resten af boligen har lyse laminatgulve, med egetræslook. Der er desuden gulvvarme i alle rum.

Der er faste hvide HTH-elementer i boligen, så den er lige til at flytte ind i. Et ventilationsanlæg sikrer alle boligerne et godt indeklima og de kvalitetsmaterialer der er anvendt, er nemme at holde.",https://www.boligportal.dk/lejligheder/aarhus/107m2-4-vaer-id-5359912
"Cikoriegade, 2640 København, Hedehusene  - Stuen",11.800 kr.,775 kr.,93 m²,4,Stuen,Lejlighed,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,A,"4-værelses lejlighed i nyopført ejendom (2022) med gode parkeringsmuligheder. 

I Hyldebakken bor du i den sydøstlige del af Søbakkehusene, i et byggeri med fokus på gedigne materialer, adgang til grønne fællesarealer og natur, og ikke mindst din komfort som beboer.

Etageejendommens arkitektur afspejler sin placering i det bakkede og varierede landskab. Her harmonerer de forskudte facader, farvevalg og materialer, i blandt andet træ og beton, med naturens egne nuancer. Grønne klatreplanter og trælameller på dele af bebyggelsen får byggeri og natur til at smelte sammen, og bringer spil og liv til bygningens facader. Hjertet i boligen er det rumlige køkken-alrum og opholdsstue, hvor egetræsgulve, neutrale farver og kvalitetsmaterialer, som i resten af boligen, giver et lyst og imødekommende udtryk.

Fra din bolig har du adgang til en privat altan eller terrasse. Gulvene her er beklædt med det rødbrune, varme og slidstærke Cumaru-træ. Bor du i en stuelejlighed, har du egen privat have med udgang fra altan eller terrasse i betonsten.

Det er tilladt at have ét husdyr - enten hund eller kat. 
Parkering er gratis. 

*Billederne er fra en prøvebolig",https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/93m2-4-vaer-id-5361463
"Sct. Mogens Gade, 8800 Viborg  - 1. sal",4.100 kr.,1.100 kr.,52 m²,2,1.,Lejlighed,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,N/A,"Blot 2 minutters gang fra gågaden i Viborg ligger denne attraktive 2-værelses lejlighed.

Lejligheden indeholder entré, stor stue, rummeligt soveværelse samt badeværelse og hvidt Vida Kvik-køkken.

Lyse rum med afhøvlede og lakerede trægulve.

Egen vaskemaskine.

Adgang til fælles gårdhave.

Plantegning er vejledende.",https://www.boligportal.dk/lejligheder/viborg/52m2-2-vaer-id-3033156
