Type,Name,Latitude,Longitude
Malls,,55.6818036,12.531049
Malls,Frederiksberg centeret,55.682243,12.533355
Malls,Q-Park Illum,55.6797769,12.5795608
Malls,K,55.6789057,12.457137
Malls,P,55.6799249,12.4579915
Malls,Frihedens Butikscenter,55.626984875,12.484060033333332
Malls,Frederiksberg Centret,55.68172073703704,12.532238129629627
Malls,Rødovre Centrum,55.679388752,12.457133042
Malls,Fisketorvet,55.6618385372093,12.561215186046512
Malls,Field's,55.630461023529406,12.577648805882353
Malls,Nørrebro Bycenter,55.70324353207547,12.538120596226417
Malls,Hvidovrevejs Butikstorv,55.65329371,12.4740983
Malls,Hvidovre C,55.66354322142857,12.475971210714285
Malls,Rebæk Søpark Butikscenter,55.6635152,12.45805314
Malls,Waterfront Shopping,55.7258382,12.57936284
Malls,Høje Gladsaxe Center,55.72994414,12.497336
Malls,Bangs Torv,55.722691,12.438989878260868
Malls,Spinderiet,55.66478501162791,12.511369176744186
Malls,Amager Centret,55.663206452,12.604195236
Malls,BIG Shopping,55.71844340625,12.44850770625
Malls,Kronen Vanløse,55.687693177551026,12.492406124489795
Malls,Illum,55.67946005454546,12.58036978181818
Malls,Tårnby Torv,55.63061632,12.60082524
Malls,Herlev Bymidte,55.723651034782606,12.439457724782608
Schools,,55.6337732,12.6255513
Schools,Instituttet for Blinde og Svagsynede - IBOS,55.7267963,12.5634854
Schools,Fritidshjemmet Ærtebjerg,55.6350689,12.4628603
Schools,Skolen på Nyelandsvej,55.6828139,12.5303254
Schools,Trekronergade Freinetskole,55.6572129,12.5197857
Schools,Skolen ved Milestedet,55.6700978,12.4506967
Schools,Niels Brock,55.6825046,12.5745879
Schools,Flyvevåbnets Officersskole,55.7174668,12.5730322
Schools,Krebs' Skole,55.6898694,12.5757128
Schools,Christianshavn Døttreskole,55.6733005,12.5939114
Schools,Frederiksberg HF-kursus,55.6799579,12.4985739
Schools,Gefion Gymnasium,55.6882961,12.5813831
Schools,Prins Henriks Skole,55.6739171,12.5496938
Schools,Fabrikken,55.6227549,12.6141227
Schools,Københavns Idrætsefterskole,55.6479492,12.511282
Schools,Professionsskolen UCC,55.7043636,12.553385
Schools,Sprogcenter Hellerup,55.7274179,12.5566685
Schools,Sprogcenter Hellerup - Tuborg campus,55.7267087,12.5788001
Schools,Frederiksberg Slot - Hærens Officersskole,55.6718932,12.5251621
Schools,High school,55.675286,12.5735394
Schools,Sosu C,55.6509471,12.4188799
Schools,Engskolen,55.6683,12.54556
Schools,Filipskolen,55.6595148,12.6334808
Schools,Skandinavisk Yoga og Meditationsskole,55.68187,12.57448
Schools,Amager International School,55.6481094,12.6349351
Schools,Atheneskolen,55.7378603,12.4833149
Schools,Borgens Køreskole,55.7306777,12.5206198
Schools,Studieskolen,55.6826836,12.5845717
Schools,Johan Borups Højskole,55.6738033,12.577434
Schools,Improv Comedy Copenhagen,55.675997,12.574759
Schools,Københavns Madhus,55.6675422,12.5632535
Schools,Frederiksberg Seminarium,55.683099,12.529317
Schools,Søværnets Officersskole,55.7173559,12.5715928
Schools,Forsvarsakademiet,55.7176443,12.5731891
Schools,Goethe Institut,55.6827557,12.573185
Schools,Institut Sankt Joseph,55.6941452,12.582244
Schools,Teater butikken,55.6681532,12.5628584
Schools,CPH Cooking Class,55.6791516,12.5897706
Schools,Sunrise International Preschool,55.7258519,12.5702192
Schools,SingularityU Nordic,55.7043392,12.5534944
Schools,Hvidovre Musikskole,55.6489521,12.4761544
Schools,Skolen på Strandboulevarden,55.7023037,12.5880004
Schools,FGU Hovedstaden - Valby,55.658389,12.504044
Schools,Københavns Professionshøjskole,55.6640976,12.5372896
