Adress,City,Street name,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,Energy label,Description,Link
"Søndergade, 8900 Randers, Randers C  - 3. sal",Randers,Søndergade,8900,56.45717,10.038858,5.450 kr.,700 kr.,86 m²,2,3.,Lejlighed,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,D,"Den har en lang fordelingsgang, som fører ud til en stor stue, et soveværelse, et badeværelse og et fint køkken hvor der er installeret en vaskemaskine og tørretumbler i en.

Lejligheden overtages nymalet i alle rum og med ny slebet gulve.

Den ligger super centralt i centrum af Randers C, hvor man har alt inden for gå afstand, hvor byen, indkøbsmuligheder og busterminalen er lige ved siden af.

Kontakt os endelig hvis det har din interesse.",https://www.boligportal.dk/lejligheder/randers/86m2-2-vaer-id-5346861
"Slotsgade, 6100 Haderslev",Haderslev,Slotsgade,6100,55.250072,9.48958,4.500 kr.,950 kr.,70 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,N/A,"Lejlighed i 2 plan med central beliggenhed i hyggelig fredet ejendom. 
Spændende lejlighed med køkken med spiseplads, toilet/badeværelse, soverum med faste skabe samt stue på 1 sal.
Beliggende tilbagetrukket fra Slotsgade. Adgang til vaskekælder og p-plads.",https://www.boligportal.dk/lejligheder/haderslev/70m2-2-vaer-id-5344784
"Sivmose, 5856 Ryslinge",Ryslinge,Sivmose,5856,55.228572,10.531949,9.195 kr.,N/A,95 m²,4,-,Rækkehus,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ja,A,"Moderne rækkehus hvor alle kvadratmeter er udnyttet til fulde. Man træder ind i entre og bryggers i ét indrettet med vask, teknikskab samt plads til vaskemaskine og tørretumbler. Herfra finder man ligeledes husets moderne badeværelse. Fra entreen går man ind i husets opholdsrum med lyst moderne køkken, plads til spisebord samt mulighed for indretning af hyggelig sofakrog. Ydermere forefindes et stort soveværelse med indbygget skabsvæg, derudover to gode værelser. Fra alrummet er der udgang til terrasse og en dejlig have.

Bebyggelsen vil bestå af 44 energivenlig og moderne kvalitetsrækkehuse i størrelsen 85, 95, 105 og 115 m² – alle i et plan tegnet i en moderne og enkel streg.

Alle boligerne opføres på selvstændige grundstykker. Til hvert hus hører egen parkering, stort redskabsrum, dejlig have, stor flisebelagt terrasse på begge sider af huset samt flisebelagt gangsti til boligens entre, hvor der udføres niveaufri adgang. Haven omkranses og lukkes af ligusterhæk.

Husene er beliggende på to lukkede vænger, hvorfor der er begrænset med trafik, og børn kan derfor trygt slippes løs og finde legekammerater i den nye bebyggelse. Hunden kan ligeledes luftes på de etablerede stier i området.

Husrækkerne udføres med murede facader af morderne lys beige mursten og sort sadeltag med 25 graders hældning. Stern af træ i farven antracit og mindre hvidmalet udhæng af træ.

Husene monteres med moderne træ/alu vinduer og døre (3-lags vinduer) i mørk farve udvendig og hvid indvendig i. Sålbænke under vinduespartierne i mørk skifer.

Husenes materialevalg er gennemtænkt og harmonisk, så husene vil fremstå smuk, tidløs og velholdt i mange år fremover.

Åbne og lyse huse

Alle husene indrettes lyse og venlige, med hvide glatte lofter og vægge. Store oplukkelige vinduer for ekstra godt lysindfald overalt. Fælles opholdsrum (køkken/alrum/stue) indrettes med store vinduespartier på flere sider for maksimalt lysindfald. Gulve af egeplank (laminat) i køkken/alrum, stue og værelser. Entre, bryggers, badeværelse og brus udføres med lækre klinkegulve i lysgrå. Alle døre i glat hvid finish med rustfri stålgreb og uden dørtrin for optimal betjening. Vindueskarme mures og vandskures i hvid. Vægge mod gulv afsluttes med hvide glatte fodpaneler.

Fine detaljer overalt

Alle boliger indrettes med bryggers med bordplade og vask. Boligens badeværelse ligger i forbindelse med bryggerset. Køkken, bad, bryggers og soveværelse monteres med moderne moduler i glat hvid afslutning og med linje greb i farven antracit grå. Bordplader i praktisk laminat i farven ’rustik skifer’ med rummelige stålvaske. Stænkplade bag kogepladen, for nem rengøring. Vask i badeværelse af formstøbt materiale. Væghængt toilet fra Ifö Sign, kvalitetsarmaturer fra tyske Hans Grohe og linjeafløb i bruseniche.

Kvalitetshvidevarer

Alle hvidevarer medfølger i anerkendt kvalitet herunder integreret køl/frys, integreret opvaskemaskine, kogeplade med induktionsteknologi, emhætte og indbygningsovn i højden med pyrolyse-teknologi. Der medfølger ligeledes vaskemaskine og tørretumbler placeret i bryggers.

Fast og god belysning

Der er etableret lyskilde i bad og bryggers, samt ved ventilation på loft. I køkken er der spot i overskabene.

Forberedt for el-bil

Der er forberedt tomrør til ladestation for el-køretøj.

Sundt indeklima og gulvvarme

Der er gulvvarme i hele huset. Dette styres via separate termostater i alle rum. Boligen er udført med ventilationsanlæg, der sikrer et sundt og godt indeklima.

Individuelle forbrugsmålere

Forbrug til varme, el, vand og spildevand afregnes direkte mellem lejer og forsyningsselskaberne. Opvarmning via fjernvarme.

Udvendig monteres der stikkontakt og vandhane samt væglampe ved entredør.

Illustrationer er modelfotos. Der tages forbehold for rettelser.",https://www.boligportal.dk/r%C3%A6kkehuse/ryslinge/95m2-4-vaer-id-5345638
"St. Sct. Hans Gade, 8800 Viborg  - Stuen",Viborg,St. Sct. Hans Gade,8800,56.451565,9.408766,7.800 kr.,1.800 kr.,149 m²,4,Stuen,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,D,"Stor flot lejlighed i 2 plan, i centrum af Viborg. Består af egen opgang/entré med vaskemaskine og tørretumbler, flot køkken med opvaskemaskine, i et med stor spisestue, og her er der udgang til vestvendt altan, med udsigt over flot gammel have, soveværelse med skabe, badeværelse, trappe til 1.sal: Her er der en stor stue med flotte synlige bjælker og loft til kip og værelse. Mulighed for parkering i gården.
Bemærk: Her kan søges om at holde indekat
Område: Viborg midtby, 100m fra gågade.",https://www.boligportal.dk/lejligheder/viborg/149m2-4-vaer-id-5330899
"Nr. Boulevard, 8900 Randers, Randers C  - 1. sal",Randers,Nr. Boulevard,8900,56.469366,10.031886,3.562 kr.,400 kr.,57 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Lejemålet er beliggende på Nr. Boulevard og består af 2 værelser samt køkken og bad. Lejemålet er 57 m2 og er klar til overtagelse snarest. Månedlig husleje er 3562 kr. og forudbetalt husleje og depositum beløber sig til i alt 14250 kr. 

Send en besked, hvis lejemålet har fanget din interesse.",https://www.boligportal.dk/lejligheder/randers/57m2-2-vaer-id-5351304
"Ravnsvadparken, 7400 Herning",Herning,Ravnsvadparken,7400,56.128332,9.119058,10.700 kr.,0 kr.,110 m²,4,-,Rækkehus,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,N/A,"TO MÅNEDERS GRATIS HUSLEJE:
Vi tilbyder 2 måneders gratis husleje ved indflytning senest d. 15. september 2023.

Ravnsvadparken ligger i den vestlige del af Ikast, men har postnummer i Herning Kommune 7400.

I Ravnsvadparken finder du 43 moderne og familievenlige lejeboliger. Byggeriet består af rækkehuse med tre og fire værelser på 90-110 m2 alle bygget i ét plan og indrettet til børnefamilier. Det er moderne og lyse hjem med store vinduespartier, ovenlysvinduer og højt til loftet. Bygget til beboere, som lever livet.

Byggeriet er DGNB Guld certificeret.

HJÆLP TIL INDSKUD:
Det er muligt for de få første at gøre brug af på denne ejendom og dermed få dækket sit indskud. Kontakt os for mere information.

VÅGN OP MED LYSET:
Når du træder ind i rækkehusene, møder du som det første entréen med indbygget skab. I forlængelse af entréen kommer et stort, lyst køkken-alrum med højt til loftet og et smukt lysindfald fra de store vinduespartier, som strækker sig fra gulv til loft. Alle rækkehuse pryder sig med et hvidt og stilrent HTH-køkken, hvor hele hårde hvidevarepakken er klimaoptimeret.

I rækkehusene er der enten tre eller fire værelser med indbyggede skabe. Alle rækkehusene har store badeværelser med ovenlysvinduer, og alt inventar er fra HTH i lyse farver.

Alle rækkehuse har klimavenlig vaskemaskine og tørretumbler. De fireværelses har bryggers med hvidevarepakke og god plads til opbevaring.

LAD BØRNENE LEGE FRIT:
Der er egen carport med plads til en bil og tilhørende redskabsrum samt udearealer med græs og belægningssten, så der er plads til en ekstra parkeringsplads eller en skøn terrasse, hvis man ønsker det.

Fællesområdet er til både børn og voksne. Der kommer en bålplads omringet af frugttræer og bærbuske. Samtidig kommer der en stor legeplads med kolbøttestativ, balancestolper, gynger, vippe og borde-bænkesæt.

Der bliver også lavet en boldbane med to fodboldmål og to borde-bænkesæt, så der er plads til fri leg, store drømme på boldbanen og sjove aktiviteter.

I området er der flere gode stisystemer og søer, som er ideelt, hvis du kan lide at bruge naturen på forskellig vis.

DU SKAL ALDRIG LEDE EFTER EN P-PLADS IGEN:
Alle boliger har egen carport og mulighed for en ekstra parkeringsplads, hvor det er muligt at tilkoble en el-ladestander. Du finder seks handicapparkeringspladser og 10 fælles parkeringspladser i området.

BÆREDYGTIGHED:
DGNB-guld er en bæredygtig certificering af bygninger. Ordningen vægter miljø, økonomi og sociale forhold ligeværdigt.

HUSDYR:
Katte: Lejere kan ansøge om tilladelse til at holde én indekat på adressen. Udekatte er ikke tilladt.
Hund: Lejere kan ansøge om tilladelse til at holde hund.
Andre dyr: Se vores samlede husdyrsregler her.

NB! Det er ikke den eksakte adresse, kontakt os for at høre nærmere om boligen.",https://www.boligportal.dk/r%C3%A6kkehuse/herning/110m2-4-vaer-id-5371065
"Mejlbyvej, 9610 Nørager, Fyrkilde",Nørager,Mejlbyvej,9610,56.750399,9.704713,7.500 kr.,300 kr.,172 m²,6,-,Hus,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Landejendom mellem Mejlby og Ravnkilde ved Himmerland Fodboldgolf. Huset på 172 m2 er i to etager. Stueplan indeholder entre, køkkenalrum, stue og kontor/lejerum samt toilet med bad. Første sal indeholder 4 værelser og et lille toilet med bad. I længe findes gæsteværelse/kontor på 43 m3. Der er lade med rulleport, der kan indrettes til værksted.  Nymalet og rengjort ved overtagelse. Opvarmes med træpiller. Der er stor have med græsplæne.",https://www.boligportal.dk/huse/n%C3%B8rager/172m2-6-vaer-id-5369306
"Grådybet, 6700 Esbjerg, Esbjerg  - 5. sal",Esbjerg,Grådybet,6700,55.479087,8.436272,7.840 kr.,1.058 kr.,98 m²,3,5.,Lejlighed,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,N/A,"Lækker 3-værelses bolig med elevator fra 2022 på den gamle tovværksgrund.

Boligen er lys med materialer af høj kvalitet og god opbevaringsplads. Køkkenet er i lyse farver. Fronterne er hvide med egekant og stågreb. Bordpladen er en lækker lysegrå corian plade og nedfældes vask og der er forberedt til egen opvaskemaskine. Entre og køkkenalrum/stue har flotte laminatplankegulve. Badeværelset er i lyst og moderne design, med klinker og gulvvarme samt forberedt til egen vaskemaskine og tørretumbler.

Der er ikke langt til havnen og der er et stort udvalg af sportsaktiviteter i gåafstand. Bare 500 m til indkøb, 1,5 km til skole og 2 km til centrum.",https://www.boligportal.dk/lejligheder/esbjerg/98m2-3-vaer-id-5295724
"Brassøvej, 8240 Aarhus, Risskov  - 2. sal",Aarhus,Brassøvej,8240,56.203325,10.235959,7.595 kr.,600 kr.,64 m²,2,2.,Lejlighed,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,A,"OVERTAGELSE KAN VÆRE FLEKSIBEL!

Lejligheden er perfekt for det unge par, eller den enlige der har behov for 2 værelser samt et rummeligt køkken.  

Lejligheden indeholder: 
- Stort køkken med plads til spisebord
- Opvaskemaskine & køleskab/fryser
- Vaskemaskine & tørretumbler
- Stue med plads til sofa, bord osv. 
- Værelse med plads til seng, skab og skrivebord
- Depotrum i lejligheden 
- Egen stor solaltan mod syd samt terrasse mod øst
- Gulvvarme og ventilationsanlæg 
- 2 store fælles tagterrasser samt lukket gårdmiljø
- Elevator
- Indkøb i stueplan & fitness rundt om hjørnet
- Letbane samt bus i gåafstand. Cirka 10-15 min til Aarhus C
- Mulighed for leje af egen p-plads

*Aconto dækker vand på kr. 200,- og varme på kr. 400,-. El afregnes direkte til forsyningsværket. 

Kontakt os for for mere information, eller for fremvisning allerede i dag :-)",https://www.boligportal.dk/lejligheder/aarhus/64m2-2-vaer-id-5227917
"Markedsgade, 8900 Randers, Randers C  - 3. sal",Randers,Markedsgade,8900,56.464007,10.033461,3.500 kr.,880 kr.,64 m²,2,3.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,Skriv for fremvisning.,https://www.boligportal.dk/lejligheder/randers/64m2-2-vaer-id-5377540
"Skelbækvej, 9800 Hjørring  - 1. sal",Hjørring,Skelbækvej,9800,57.469667,10.002531,3.798 kr.,450 kr.,52 m²,2,1.,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,N/A,"Velindrettet ungdomsbolig i Hjørring

Skøn, lys bolig tæt ved Hjørring by. Lejlighederne er indrettet med gode værelser, et åbent køkken-alrum med hårde hvidevarer og bad/toilet.

Boligen overtages nyistandsat - herunder med nymalede vægge og afslebne fyrtræsgulve mv.
Der er adgang til fælles vaskeri, kabel-tv og internet mm. Herudover har kollegiet 2 fællesrum, herunder ét indrettet som selskabslokale og ét indrettet som bar.

Studerende har fortrinsret til at leje boligerne, men det er ikke et krav at være under uddannelse for at bo på kollegiet.

Bebyggelsen, Skelbæk Kollegiet, består af 68 kvalitetsboliger fordelt i 2 etagers blokke med 4 boliger i hver. I stueetagen er der udgang til terrasse. Alle boliger har udsigt til kollegiets flotte, grønne oase med buske, træer og gangstier samt gode cykel- og parkeringsforhold.

OBS. Billederne er af prøveboligen og ikke den specifikke bolig.",https://www.boligportal.dk/lejligheder/hj%C3%B8rring/52m2-2-vaer-id-5292040
"Karlshøj, 4733 Tappernøje, Sølperup",Tappernøje,Karlshøj,4733,55.185849,11.986231,7.800 kr.,3.155 kr.,117 m²,2,-,Lejlighed,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,D,"2 vær. Stuelejlighed i det hyggelige Tappernøje.
Lejemålet opvarmes med naturgas og indeholder ovn, kogeplader, køle-/fryseskab, emhætte samt 
opvaskemaskine.
Lejemålet består af egen indgang, entre, køkken, alrum, soveværelse, flere depotrum, badeværelse m. 
bruseniche og plads til vaskesøjle.
Fra lejemålet er der adgang til fælles gårdanlæg/have samt eget kælderrum.
Ac-bidraget består af kr. 2.500 varme og kr. 655 vand.
Overtages nymalet.
Husdyr er ikke tilladt.",https://www.boligportal.dk/lejligheder/tappern%C3%B8je/117m2-2-vaer-id-5356509
